Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Quán Chay Thúy,,,Đà Nẵng,122 Hoàng Diệu; P. Hải Châu 2;Quận Hải Châu,,,,500,,(0511) 3 835 662,,,06:30 - 21:00,,,,,,,,,,,
@VNLAB,@000002,Liên Hoa - Cơm Chay Dưỡng Sinh,,,Đà Nẵng,49 Lê Hồng Phong;Quận Hải Châu,,,,500,,(0511) 3 707 331 - 0906 201 912,,,08:00 - 21:30,,,,,,,,,,,
@VNLAB,@000003,Quán Chay Ngọc Chi,,,Đà Nẵng,32 Thái Phiên;Quận Hải Châu,,,,500,,0935 356 534,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000004,Quán Chay An's,,,Đà Nẵng,79 Hoàng Văn Thụ;Quận Hải Châu,,,,500,,,,,07:30 - 22:00,,,,,,,,,,,
@VNLAB,@000005,Quán Chay Tâm Phúc,,,Đà Nẵng,K91/2 Nguyễn Thị Minh Khai;Quận Hải Châu,,,,500,,,,,07:00 - 20:00,,,,,,,,,,,
@VNLAB,@000006,Quán Chay - Hoàng Hoa Thám,,,Đà Nẵng,99 Hoàng Hoa Thám; P. Tân Chính;Quận Thanh Khê,,,,500,,0988 854 757,,,06:30 - 20:00,,,,,,,,,,,
@VNLAB,@000007,Hương Khách - Ẩm Thực Chay,,,Đà Nẵng,106 Hoàng Diệu;Quận Hải Châu,,,,500,,0934 905 384,,,08:30 - 21:30,,,,,,,,,,,
@VNLAB,@000008,Quán Chay Nga,,,Đà Nẵng,296 Đống Đa; P. Thanh Bình;Quận Hải Châu,,,,500,,(0511) 3 519 388,,,06:00 - 21:30,,,,,,,,,,,
@VNLAB,@000009,Quán Chay Bồ Đề,,,Đà Nẵng,588 Ông Ích Khiêm; P. Dương Nam;Quận Hải Châu,,,,500,,(0511) 3 828 625,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000010,Cơm Chay 162,,,Đà Nẵng,162 Huỳnh Thúc Kháng;Quận Hải Châu,,,,500,,0935 338 467,,,06:00 - 19:30,,,,,,,,,,,
@VNLAB,@000011,Nhà Hàng Chay Tâm Châu,,,Đà Nẵng,38 - 42 Nguyễn Du;Quận Hải Châu,,,,500,,(0511) 2 816 167 - 0905 675 777,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000012,Thực Dưỡng Bảo An,,,Đà Nẵng,40 Lê Tấn Toán;Quận Sơn Trà,,,,500,,0905 893 896 - 0902 957 256,,,06:00 - 19:30,,,,,,,,,,,
@VNLAB,@000013,Cơm Chay Thiên Nhiên,,,Đà Nẵng,49 Trần Tống;Quận Thanh Khê,,,,500,,0905 211 091,,,10:30 - 20:00,,,,,,,,,,,
@VNLAB,@000014,Quán Chay Tâm Nguyên Phúc,,,Đà Nẵng,140 Ngũ Hành Sơn;Quận Ngũ Hành Sơn,,,,500,,,,,10:30 - 21:00,,,,,,,,,,,
@VNLAB,@000015,Cơm Chay Âu Lạc,,,Đà Nẵng,60 Nguyễn Du; P. Thạch Thang;Quận Hải Châu,,,,500,,(0511) 3 887 929,,,06:30 - 20:00,,,,,,,,,,,
@VNLAB,@000016,Quán Chay Tịnh Tâm,,,Đà Nẵng,46 Phạm Như Xương;Quận Liên Chiểu,,,,500,,,,,19:00 - 22:00,,,,,,,,,,,
@VNLAB,@000017,Quán Chay Liên Hương,,,Đà Nẵng,173 Lê Thanh Nghị;Quận Hải Châu,,,,500,,0906 877 626,,,10:00 - 21:30,,,,,,,,,,,
@VNLAB,@000018,Quán Chay Thiên Phổ,,,Đà Nẵng,317 Hùng Vương;Quận Thanh Khê,,,,500,,(0511) 3 295 189,,,10:00 - 20:00,,,,,,,,,,,
@VNLAB,@000019,Quán Chay Lan Anh,,,Đà Nẵng,28 Ngô Gia Tự;Quận Hải Châu,,,,500,,(0511) 3 835 282,,,Đang cập nhật,,,,,,,,,,,
@VNLAB,@000020,Quán Chay Phượng Hồng,,,Đà Nẵng,248 Phạm Cự Lượng;Quận Sơn Trà,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000021,Ẩm Thực Chay Đà Nẵng,,,Đà Nẵng,60 Thái Phiên;Quận Hải Châu,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000022,Tâm Tịnh - Quán Chay,,,Đà Nẵng,171 Triệu Nữ Vương; P. Vĩnh Trung;Quận Hải Châu,,,,500,,(0511) 3 582 240,,,06:30 - 21:00,,,,,,,,,,,
@VNLAB,@000023,Cơm Chay Hạnh Nguyên,,,Đà Nẵng,188 Lý Nhân Tông;Quận Cẩm Lệ,,,,500,,,,,08:00 - 13:30,,,,,,,,,,,
@VNLAB,@000024,Cơm Chay Như Pháp,,,Đà Nẵng,26B Chu Văn An;Quận Hải Châu,,,,500,,,,,11:00 - 13:00 | 16:30 - 18:00,,,,,,,,,,,
@VNLAB,@000025,Chay Duyên Lành,,,Đà Nẵng,335 Hải Phòng;Quận Thanh Khê,,,,500,,,,,06:00 - 20:00,,,,,,,,,,,
@VNLAB,@000026,Quán Chay Phương,,,Đà Nẵng,K27/16E Lý Thái Tổ;Quận Thanh Khê,,,,500,,0937 013 063,,,06:00 - 20:00,,,,,,,,,,,
@VNLAB,@000027,Quán Chay 64,,,Đà Nẵng,64 Trưng Nữ Vương;Quận Hải Châu,,,,500,,,,,07:00 - 13:30,,,,,,,,,,,
@VNLAB,@000028,Quán Chay Diệu Pháp,,,Đà Nẵng,43/8 Hải Phòng;Quận Hải Châu,,,,500,,0905 010 704,,,07:00 - 20:00,,,,,,,,,,,
@VNLAB,@000029,Quán Chay Phước Duyên - Đỗ Bá,,,Đà Nẵng,Đỗ Bá;Quận Ngũ Hành Sơn,,,,500,,0935 199 150,,,07:00 - 21:00,,,,,,,,,,,
@VNLAB,@000030,Cơm Chay Lộc Thiện Phước,,,Đà Nẵng,133 Ông Ích Khiêm;Quận Hải Châu,,,,500,,0903 577 057,,,07:00 - 20:00,,,,,,,,,,,
@VNLAB,@000031,Quán Chay Thanh Tâm,,,Đà Nẵng,07 Ngô Gia Tự;Quận Hải Châu,,,,500,,,,,10:00 - 20:00,,,,,,,,,,,
@VNLAB,@000032,Quán Chay Long Hoa,,,Đà Nẵng,866 Tôn Đức Thắng;Quận Liên Chiểu,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000033,Quán Chay Âu Lạc,,,Đà Nẵng,05 Hồ Ngọc Lãm;Quận Sơn Trà,,,,500,,,,,07:00 - 21:00,,,,,,,,,,,
@VNLAB,@000034,Quán Chay An Lạc - Quang Trung,,,Đà Nẵng,38 Quang Trung;Quận Hải Châu,,,,500,,0968 989 567,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000035,Tịnh Quán A Lan Nhã - Ẩm Thực Chay,,,Đà Nẵng,K25/4 Ngũ Hành Sơn;Quận Ngũ Hành Sơn,,,,500,,0905 999 109,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000036,Quán Chay Giác Ngộ - Phạm Cự Lượng,,,Đà Nẵng,K246 Phạm Cự Lượng;Quận Sơn Trà,,,,500,,0905 886 464,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000037,Quán Chay Thiện Nhân,,,Đà Nẵng,K320/3 Hoàng Diệu;Quận Hải Châu,,,,500,,,,,07:30 - 21:00,,,,,,,,,,,
@VNLAB,@000038,Quán Chay An Lạc - Thế Lữ,,,Đà Nẵng,2 Thế Lữ;Quận Sơn Trà,,,,500,,0906 488 954,,,06:00 - 22:00,,,,,,,,,,,
