Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000499,Quán Thịnh - Xôi & Cháo,,,Đà Nẵng,122 - 124 Huỳnh Thúc Kháng;Quận Hải Châu,,,,500,,0905 012 398,,,06:00 - 11:00,,,,,,,,,,,
@VNLAB,@000500,Bánh Tráng Kẹp Dì Hoàng,,,Đà Nẵng,K142/46/09 Điện Biên Phủ;Quận Thanh Khê,,,,500,,,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000501,Chè Thái Liên - Hoàng Diệu,,,Đà Nẵng,189 Hoàng Diệu;Quận Hải Châu,,,,500,,0906 446 073,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000502,Bánh Tráng Hẻm,,,Đà Nẵng,172 Lê Đình Dương;Quận Hải Châu,,,,500,,,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000503,Ăn Vặt Min Min,,,Đà Nẵng,91 Nguyễn Thị Minh Khai; P. Hải Châu 1;Quận Hải Châu,,,,500,,,,,09:00 - 12:00 | 15:00 - 21:00,,,,,,,,,,,
@VNLAB,@000504,Chè Thái Ngon - Nguyễn Văn Linh,,,Đà Nẵng,343 Nguyễn Văn Linh; P. Nam Dương;Quận Hải Châu,,,,500,,0966 888 847 - 01227057054,,,11:00 - 23:00,,,,,,,,,,,
@VNLAB,@000505,Duy Khuyên - Nem Chua Rán Hà Nội,,,Đà Nẵng,212 Lê Thanh Nghị;Quận Hải Châu,,,,500,,0978632733,,,18:30 - 21:00,,,,,,,,,,,
@VNLAB,@000506,Bánh Waffle - Bánh Nướng Tổ Ong,,,Đà Nẵng,174 Phan Chu Trinh;Quận Hải Châu,,,,500,,0905 391 891,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000507,Bánh Tráng Kẹp Dì Liên - Trần Tống,,,Đà Nẵng,33 Trần Tống;Quận Hải Châu,,,,500,,0905 553 156,,,14:30 - 21:00,,,,,,,,,,,
@VNLAB,@000508,Bánh Mì Nướng Muối Ớt Chang Chang,,,Đà Nẵng,196 Hải Phòng;Quận Thanh Khê,,,,500,,01223 507 514,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000509,Bột Chiên Sài Gòn,,,Đà Nẵng,125 Huỳnh Thúc Kháng;Quận Hải Châu,,,,500,,,,,16:00 - 21:00,,,,,,,,,,,
@VNLAB,@000510,Xôi Bà Bé,,,Đà Nẵng,Đối Diện 27 Ngô Gia Tự;Quận Hải Châu,,,,500,,,,,06:00 - 09:00,,,,,,,,,,,
@VNLAB,@000511,Ahihi - Trà Sữa & Ăn Vặt,,,Đà Nẵng,102 Lê Đình Lý;Quận Thanh Khê,,,,500,,,,,15:30 - 21:00,,,,,,,,,,,
@VNLAB,@000512,Da Heo Trộn - Hoành Thánh Chiên,,,Đà Nẵng,1 Nguyễn Gia Thiều; P. Thạc Gián;Quận Thanh Khê,,,,500,,0905 220 318,,,14:00 - 19:30,,,,,,,,,,,
@VNLAB,@000513,Bánh Cá Taiyaki Sóc Nâu - Hoàng Diệu,,,Đà Nẵng,467 Hoàng Diệu;Quận Hải Châu,,,,500,,,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000514,Lan Điệp - Yaourt Muối & Ốc Hút,,,Đà Nẵng,Bùi Thị Xuân;Quận Sơn Trà,,,,500,,,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000515,Thalassa Milk Tea,,,Đà Nẵng,196 Hải Phòng;Quận Thanh Khê,,,,500,,0905 999 790 - 0906 522 403,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000516,Hifi - Món Ăn Hàn Quốc,,,Đà Nẵng,K05/60 Cù Chính Lan;Quận Thanh Khê,,,,500,,01264 050 276,,,10:30 - 21:30,,,,,,,,,,,
@VNLAB,@000517,Ram Cuốn Cải Việt,,,Đà Nẵng,16 Hoàng Hoa Thám;Quận Hải Châu,,,,500,,,,,16:00 - 23:00,,,,,,,,,,,
@VNLAB,@000518,Ba Cô Cú Mèo - Nem Chua Rán,,,Đà Nẵng,46 Điện Biên Phủ;Quận Thanh Khê,,,,500,,0901 917 689 - 090 513 40 13,,,16:30 - 22:00,,,,,,,,,,,
