Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000519,Bánh Ép Huế - Nguyễn Thị Minh Khai,,,Đà Nẵng,18 Nguyễn Thị Minh Khai;Quận Hải Châu,,,,500,,,,,16:00 - 21:30,,,,,,,,,,,
@VNLAB,@000520,Quán Lanh - Trứng Vịt Lộn,,,Đà Nẵng,Đối Diện 35 Ngô Gia Tự;Quận Hải Châu,,,,500,,,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000521,Táo Mèo Quán - Hải Sản & Đặc Sản Lạng Sơn,,,Đà Nẵng,15 Tiểu La;Quận Hải Châu,,,,500,,01688 723 026,,,10:00 - 21:00,,,,,,,,,,,
@VNLAB,@000522,Simple - Trái Cây Lắc & Tháp Trà Sữa,,,Đà Nẵng,137 Huỳnh Thúc Kháng;Quận Hải Châu,,,,500,,0905 905 348 - 0935 863 546,,,18:00 - 22:00,,,,,,,,,,,
@VNLAB,@000523,2CE - Trà Sữa & Kem Nitơ,,,Đà Nẵng,K126/23 Nguyễn Duy Hiệu;Quận Sơn Trà,,,,500,,01227 454 034,,,16:30 - 22:00,,,,,,,,,,,
@VNLAB,@000524,Bánh Mì Nướng Muối Ớt - Take Away,,,Đà Nẵng,430 Núi Thành;Quận Hải Châu,,,,500,,0935 203 989 - 01216 848 776,,,14:30 - 21:00,,,,,,,,,,,
@VNLAB,@000525,Bánh Bơ - Bà Huyện Thanh Quan,,,Đà Nẵng,56 Bà Huyện Thanh Quan;Quận Ngũ Hành Sơn,,,,500,,,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000526,Trái Cây Xô - Trà Sữa,,,Đà Nẵng,83 Quang Trung;Quận Hải Châu,,,,500,,,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000527,Ăn Vặt A+,,,Đà Nẵng,Kiệt 263/1 Nguyễn Văn Linh;Quận Thanh Khê,,,,500,,,,,12:00 - 23:00,,,,,,,,,,,
@VNLAB,@000528,Trà Sữa LaBon's - Thạch Tươi Nhà Làm,,,Đà Nẵng,721A Trần Cao Vân;Quận Thanh Khê,,,,500,,0933 498 228 - 0916 786 479 - 0917 730 576,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000529,Chè Thái Na Na,,,Đà Nẵng,183/5 Hoàng Diệu;Quận Hải Châu,,,,500,,0905 625 512 - 0901 155 100,,,11:00 - 23:00,,,,,,,,,,,
@VNLAB,@000530,Ciao - Tea & Smothie,,,Đà Nẵng,60 Pasteur;Quận Hải Châu,,,,500,,0935 679 090,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000531,Quán 49 - Bánh Tráng Nướng Bò Khô,,,Đà Nẵng,49 Lý Thái Tổ;Quận Thanh Khê,,,,500,,,,,15:00 - 22:30,,,,,,,,,,,
@VNLAB,@000532,Bánh Tráng Nướng,,,Đà Nẵng,Cuối Đường Đào Duy Từ (đối Diện Chợ Cồn);Quận Hải Châu,,,,500,,,,,09:00 - 21:00,,,,,,,,,,,
@VNLAB,@000533,Phố Cổ Hà Nội - Triệu Nữ Vương,,,Đà Nẵng,152 Triệu Nữ Vương;Quận Hải Châu,,,,500,,0936 635 966 – (0236) 355 1528,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000534,Ốc Hút Đĩa Bay - 2 Tháng 9,,,Đà Nẵng,Đường 2 Tháng 9;Quận Hải Châu,,,,500,,,,,00:00 - 00:00,,,,,,,,,,,
@VNLAB,@000535,Ăn Vặt Mẹ Của Ken,,,Đà Nẵng,118/5 Lê Đình Lý;Quận Thanh Khê,,,,500,,,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000536,Bánh Bao Kim Sa - Hoàng Diệu,,,Đà Nẵng,278B Hoàng Diệu;Quận Hải Châu,,,,500,,0903 529 955,,,09:00 - 23:00,,,,,,,,,,,
@VNLAB,@000537,Bánh Delimanjoo,,,Đà Nẵng,44 Nguyễn Du;Quận Hải Châu,,,,500,,0935 909 701,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000538,Xôi Mặn Hương Thủy,,,Đà Nẵng,98 Phan Chu Trinh;Quận Hải Châu,,,,500,,,,,17:00 - 22:30,,,,,,,,,,,
