Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Draft Beer - 2 Tháng 9,,,Đà Nẵng,6 Đường 2 Tháng 9;Quận Hải Châu,,,,500,,0912 585 216,,,17:00 - 23:30,,,,,,,,,,,
@VNLAB,@000002,Anchor Beer Club,,,Đà Nẵng,29 Quang Dũng;Quận Thanh Khê,,,,500,,(0511) 3 656 234,,,10:00 - 23:00,,,,,,,,,,,
@VNLAB,@000003,HT Beer,,,Đà Nẵng,25 - 27 Ngô Văn Sở;Quận Liên Chiểu,,,,500,,0905 866 891 - 0935 040 308,,,16:00 - 02:00,,,,,,,,,,,
@VNLAB,@000004,Beer 379,,,Đà Nẵng,Ngã Tư Tố Hữu - Bùi Kỷ;Quận Hải Châu,,,,500,,0935 790 792 - 0935 354 636,,,11:00 - 23:00,,,,,,,,,,,
@VNLAB,@000005,4U Boutique Restaurant & Beer,,,Đà Nẵng,16 Thái Phiên; P. Phước Ninh;Quận Hải Châu,,,,500,,0905 510 668,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000006,Beer The Du Dôme,,,Đà Nẵng,Bà Nà Hill;Hòa Vang,,,,500,,,,,09:00 - 23:00,,,,,,,,,,,
@VNLAB,@000007,Mercury Karaoke,,,Đà Nẵng,199 Điện Biên Phủ;Quận Thanh Khê,,,,500,,0943 012 012,,,07:00 - 24:00,,,,,,,,,,,
@VNLAB,@000008,Seamen's Club,,,Đà Nẵng,Tầng Trệt; Du Thuyền Marina; Trần Hưng Đạo;Quận Sơn Trà,,,,500,,,,,10:00 - 22:30,,,,,,,,,,,
@VNLAB,@000009,Toranto Beer Club,,,Đà Nẵng,46 Điện Biên Phủ;Quận Thanh Khê,,,,500,,,,,07:00 - 23:00,,,,,,,,,,,
@VNLAB,@000010,Đạt Quán - Xô Viết Nghệ Tĩnh,,,Đà Nẵng,Lô 166 Xô Viết Nghệ Tĩnh;Quận Hải Châu,,,,500,,0905 173 958,,,16:30 - 22:30,,,,,,,,,,,
@VNLAB,@000011,Club Beer,,,Đà Nẵng,32 - 34 Lê Doãn Nhạ;Quận Liên Chiểu,,,,500,,,,,10:00 - 22:30,,,,,,,,,,,
@VNLAB,@000012,Draft Beer - 2 Tháng 9,,,Đà Nẵng,6 Đường 2 Tháng 9;Quận Hải Châu,,,,500,,0912 585 216,,,17:00 - 23:30,,,,,,,,,,,
@VNLAB,@000013,Anchor Beer Club,,,Đà Nẵng,29 Quang Dũng;Quận Thanh Khê,,,,500,,(0511) 3 656 234,,,10:00 - 23:00,,,,,,,,,,,
@VNLAB,@000014,HT Beer,,,Đà Nẵng,25 - 27 Ngô Văn Sở;Quận Liên Chiểu,,,,500,,0905 866 891 - 0935 040 308,,,16:00 - 02:00,,,,,,,,,,,
@VNLAB,@000015,Beer 379,,,Đà Nẵng,Ngã Tư Tố Hữu - Bùi Kỷ;Quận Hải Châu,,,,500,,0935 790 792 - 0935 354 636,,,11:00 - 23:00,,,,,,,,,,,
@VNLAB,@000016,4U Boutique Restaurant & Beer,,,Đà Nẵng,16 Thái Phiên; P. Phước Ninh;Quận Hải Châu,,,,500,,0905 510 668,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000017,Beer The Du Dôme,,,Đà Nẵng,Bà Nà Hill;Hòa Vang,,,,500,,,,,09:00 - 23:00,,,,,,,,,,,
@VNLAB,@000018,Mercury Karaoke,,,Đà Nẵng,199 Điện Biên Phủ;Quận Thanh Khê,,,,500,,0943 012 012,,,07:00 - 24:00,,,,,,,,,,,
