Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000019,Gopatel – Golden Palace Hotel,,,Đà Nẵng,202 Nguyễn Chí Thanh;Quận Hải Châu,,,,500,,,,,00:00 - 12:00,,,,,,,,,,,
@VNLAB,@000020,Buffet Sáng - Biển Vàng Hotel,,,Đà Nẵng,C1.04 - 05 Phạm Văn Đồng;Quận Sơn Trà,,,,500,,(0511) 3 958 958 - (0511) 3 958 963,,,06:00 - 10:00,,,,,,,,,,,
@VNLAB,@000021,Music Wave - Silver Shores International Resort,,,Đà Nẵng,Trường Sa;Quận Ngũ Hành Sơn,,,,500,,(0511) 3918 359,,,06:00 - 00:00,,,,,,,,,,,
@VNLAB,@000022,Faifo Grill & Buffet Restaurant,,,Đà Nẵng,393 Lê Duẩn;Quận Hải Châu,,,,500,,(0511) 3 566 393,,,10:30 - 14:00 | 17:30 - 22:00,,,,,,,,,,,
@VNLAB,@000023,Hun Khói - Buffet Nướng Tự Chọn,,,Đà Nẵng,11 Nguyễn Hoàng;Quận Hải Châu,,,,500,,0906 335 992,,,11:00 - 22:30,,,,,,,,,,,
@VNLAB,@000024,Trúc Lâm Viên Cafe & Restaurant,,,Đà Nẵng,08 - 10 Trần Quý Cáp;Quận Hải Châu,,,,500,,(0511) 3 582 428 - (0511) 3 843 777 - (0236) 3 582 428 - (0236) 3 843 777,,,06:00 - 22:30,,,,,,,,,,,
@VNLAB,@000025,Sumo BBQ - Buffet Lẩu & Nướng,,,Đà Nẵng,Tầng 4; Vincom Center; 910A Ngô Quyền;Quận Sơn Trà,,,,500,,19 006 022,,,11:00 - 22:00,,,,,,,,,,,
@VNLAB,@000026,Hantok Đà Nẵng - Món Hàn,,,Đà Nẵng,A1 Nguyễn Văn Linh;Quận Hải Châu,,,,500,,,,,10:30 - 22:00,,,,,,,,,,,
@VNLAB,@000027,The Square Buffet - Novotel Danang Premier Han River,,,Đà Nẵng,Tầng 4; Novotel Premier Han River; 36 Bạch Đằng;Quận Hải Châu,,,,500,,(0511) 3 929 999 - (0236) 3 929 999,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000028,Le Gourmet Restaurant - Samdi Hotel,,,Đà Nẵng,Tầng 3; Khách Sạn Samdi; 203 - 211 Nguyễn Văn Linh;Quận Thanh Khê,,,,500,,(0236) 3 586 222 - 0915 335 007,,,Sáng: 06:30 - 10:00 | Trưa: 11:30 - 14:30 | Tối: 18:00 - 22:30,,,,,,,,,,,
@VNLAB,@000029,The Golden Dragon Restaurant - Grand Mercure Danang,,,Đà Nẵng,Tầng 2; Grand Mercure Danang; Lô A1; Khu Đảo Xanh;Quận Hải Châu,,,,500,,(0236) 3 797 210,,,17:00 - 21:30,,,,,,,,,,,
@VNLAB,@000030,Citron - InterContinental Resort,,,Đà Nẵng,Bán Đảo Sơn Trà;Quận Sơn Trà,,,,500,,(0511) 3 938 888,,,08:00 - 23:00,,,,,,,,,,,
@VNLAB,@000031,SOHO Buffet & Alacarte,,,Đà Nẵng,Lô 1; Công Viên Bắc Tượng Đài; 2 Tháng 9;Quận Hải Châu,,,,500,,0914 633 078,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000032,Alibaba - Buffet Tự Chọn 119K - Lê Thanh Nghị,,,Đà Nẵng,320 Lê Thanh Nghị; Hải Châu; Đà Nẵng;Quận Hải Châu,,,,500,,,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000033,S'ngon Restaurant - Sanouva Danang Hotel,,,Đà Nẵng,68 Phan Chu Trinh;Quận Hải Châu,,,,500,,,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000034,Lẩu Băng Chuyền Kichi Kichi,,,Đà Nẵng,A9 Nguyễn Văn Linh;Quận Hải Châu,,,,500,,,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000035,Lẩu Băng Chuyền Lan Rừng,,,Đà Nẵng,Tầng 2 Big C; 255 - 257 Hùng Vương;Quận Hải Châu,,,,500,,0901 912 278,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000036,Hoa Lan Restaurant - Bà Nà Hills,,,Đà Nẵng,An Sơn; Hòa Ninh;Hòa Vang,,,,500,,,,,08:00 - 21:00,,,,,,,,,,,
@VNLAB,@000037,Fresh Restaurant - Crowne Plaza Danang,,,Đà Nẵng,Crowne Plaza Danang; 8 Sơn Trà Điện Ngọc;Quận Ngũ Hành Sơn,,,,500,,,,,18:00 - 21:00,,,,,,,,,,,
@VNLAB,@000038,Buffet Dinner - Sea Phoenix Hotel,,,Đà Nẵng,Tầng Thượng; Sea Phoenix Hotel; 115 Hồ Xuân Hương;Quận Ngũ Hành Sơn,,,,500,,(0511) 3 525 999,,,18:00 - 21:00,,,,,,,,,,,
