Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Kem Baskin Robbins - Bạch Đằng,,,Đà Nẵng,74 Bạch Đằng;Quận Hải Châu,,,,500,,(0511) 384 983,,,07:00 - 23:00,,,,,,,,,,,
@VNLAB,@000002,BonPas Bakery & Coffee,,,Đà Nẵng,112 Lê Duẩn;Quận Hải Châu,,,,500,,,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000003,Aroi Dessert Cafe,,,Đà Nẵng,124 Bạch Đằng;Quận Hải Châu,,,,500,,0511 656 6311 - (0236) 656 6311,,,07:00 - 23:00,,,,,,,,,,,
@VNLAB,@000004,Liferia Coffee - Phan Châu Trinh,,,Đà Nẵng,186 - 188 Phan Châu Trinh;Quận Hải Châu,,,,500,,(0511) 6 555 759,,,07:00 - 22:30,,,,,,,,,,,
@VNLAB,@000005,Trà Sữa Money - Nguyễn Du,,,Đà Nẵng,17 Nguyễn Du;Quận Hải Châu,,,,500,,0935 312 412,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000006,Sunway Tea & Coffee,,,Đà Nẵng,56D Lê Hồng Phong;Quận Hải Châu,,,,500,,0166 717 5741 - 0916 671 077 - 0986 959 801,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000007,Highlands Coffee - Indochina,,,Đà Nẵng,74 Bạch Đằng;Quận Hải Châu,,,,500,,,,,06:30 - 23:00,,,,,,,,,,,
@VNLAB,@000008,Love's Crepe - Trưng Nữ Vương,,,Đà Nẵng,21 Trưng Nữ Vương;Quận Hải Châu,,,,500,,(0511) 3 575 775 - (0236) 3 575 775,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000009,Vevy Milktea,,,Đà Nẵng,71 - 73 Phan Châu Trinh;Quận Hải Châu,,,,500,,,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000010,Trà Sữa Bobapop - Nguyễn Văn Linh,,,Đà Nẵng,28 Nguyễn Văn Linh; Nam Dương;Quận Hải Châu,,,,500,,(0511) 6 533 273,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000011,So Yummy - Kem Tuyết & Pizza,,,Đà Nẵng,135 Nguyễn Chí Thanh;Quận Hải Châu,,,,500,,,,,15:00 - 21:00,,,,,,,,,,,
@VNLAB,@000012,Cloud Garden Coffee,,,Đà Nẵng,72 Lê Mạnh Trinh;Quận Sơn Trà,,,,500,,0914 288 818,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000013,Hi! Tea - Hải Phòng,,,Đà Nẵng,2 Hải Phòng;Quận Hải Châu,,,,500,,(0511) 3 849 151 - 0905 429 643,,,08:30 - 22:00,,,,,,,,,,,
@VNLAB,@000014,Hot & Cold - Trà Sữa & Xiên Que,,,Đà Nẵng,356 Hoàng Diệu;Quận Hải Châu,,,,500,,(0511) 3 565 637,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000015,Trà Sữa Thái Feeling QNG,,,Đà Nẵng,42 Nguyễn Văn Linh;Quận Thanh Khê,,,,500,,(0511) 6 555 000 - 0935 337 223,,,07:30 - 22:00,,,,,,,,,,,
@VNLAB,@000016,Cộng Caphe - Bạch Đằng,,,Đà Nẵng,96 - 98 Bạch Đằng;Quận Hải Châu,,,,500,,,,,07:30 - 23:00,,,,,,,,,,,
@VNLAB,@000017,Ding Tea - Trà Sữa Đài Loan,,,Đà Nẵng,238 Lê Duẩn;Quận Thanh Khê,,,,500,,(0236) 3 530 588,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000018,Koko Green Cafe,,,Đà Nẵng,Lô 14 Hải Phòng;Quận Hải Châu,,,,500,,0905 770 615 - 0905 693 834,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000019,Icls Cultural Center & Coffee - Món Hàn,,,Đà Nẵng,171 Tố Hữu;Quận Hải Châu,,,,500,,,,,16:30 - 22:00,,,,,,,,,,,
@VNLAB,@000020,EZI Coffee,,,Đà Nẵng,30 Ông Ích Khiêm;Quận Hải Châu,,,,500,,0905 201 200,,,06:00 - 23:00,,,,,,,,,,,
@VNLAB,@000021,The Mana Cafe - Bingsu,,,Đà Nẵng,66 Đỗ Quang;Quận Thanh Khê,,,,500,,0984 329 276,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000022,Buz Coffee To Go,,,Đà Nẵng,72A Ngô Gia Tự;Quận Hải Châu,,,,500,,0906 529 922 - 0935 444 572,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000023,Wonderlust Cafe & Bakery,,,Đà Nẵng,101 Trần Phú;Quận Hải Châu,,,,500,,(0236) 3 990 123,,,07:30 - 22:00,,,,,,,,,,,
@VNLAB,@000024,Cube Milk Tea & Ice Cream,,,Đà Nẵng,22 Hải Phòng;Quận Hải Châu,,,,500,,0976 737 717 - 0905 711 491,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000025,Trà Sữa Gong Cha - 貢茶 - Nguyễn Văn Linh,,,Đà Nẵng,25 - 29 Nguyễn Văn Linh;Quận Hải Châu,,,,500,,01225 107 295 - 0935 114 767,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000026,JourNeé Café,,,Đà Nẵng,6 Hoàng Văn Thụ;Quận Hải Châu,,,,500,,0905 886 536,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000027,Pavilion The Garden Cafe,,,Đà Nẵng,122 Quang Trung;Quận Hải Châu,,,,500,,0903 800 949 - 0905 887 055,,,06:30 - 22:30,,,,,,,,,,,
@VNLAB,@000028,Allen Coffee,,,Đà Nẵng,Lô 16 Bình Minh 3;Quận Hải Châu,,,,500,,0913 431 985,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000029,Higlo Kissaten - Trưng Nữ Vương,,,Đà Nẵng,97 Trưng Nữ Vương;Quận Hải Châu,,,,500,,,,,07:30 - 22:00,,,,,,,,,,,
@VNLAB,@000030,Hanana Coffee & Tea Express,,,Đà Nẵng,7 Lê Thánh Tôn;Quận Hải Châu,,,,500,,0975 474 748,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000031,Home Coffee,,,Đà Nẵng,45B Ngô Gia Tự;Quận Hải Châu,,,,500,,0905 830 082,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000032,Trà Sữa - 161 Lê Lợi,,,Đà Nẵng,161 Lê Lợi;Quận Hải Châu,,,,500,,,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000033,Leevins Study Coffee,,,Đà Nẵng,134 Phan Châu Trinh;Quận Hải Châu,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000034,Mia Store Coffee To Go,,,Đà Nẵng,9 Nguyễn Hoàng;Quận Hải Châu,,,,500,,0121 377 2192,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000035,Danang Souvenirs & Cafe,,,Đà Nẵng,34 Bạch Đằng;Quận Hải Châu,,,,500,,(0511) 3 827 999,,,07:00 - 23:00,,,,,,,,,,,
@VNLAB,@000036,Boulevard Gelato & Coffee - Trần Quốc Toản,,,Đà Nẵng,77 Trần Quốc Toản;Quận Hải Châu,,,,500,,0968 007 625,,,06:30 - 22:30,,,,,,,,,,,
@VNLAB,@000037,Papa Container Coffee,,,Đà Nẵng,Lô 06-BT; 6 Thanh Tịnh;Quận Liên Chiểu,,,,500,,0943077173 - 0903800949,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000038,Click Coffee - Huỳnh Thúc Kháng,,,Đà Nẵng,2 Huỳnh Thúc Kháng;Quận Hải Châu,,,,500,,01695 308 351,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000039,Mộc Miên Cafe,,,Đà Nẵng,34 Đường 2 Tháng 9;Quận Hải Châu,,,,500,,,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000040,Taiwan Good Tea,,,Đà Nẵng,107 Nguyễn Văn Linh;Quận Hải Châu,,,,500,,,,,14:00 - 22:00,,,,,,,,,,,
@VNLAB,@000041,Hibou Coffee & Dessert,,,Đà Nẵng,248A Phan Chu Trinh;Quận Hải Châu,,,,500,,0975 368 420,,,08:00 - 23:00,,,,,,,,,,,
@VNLAB,@000074,Trà Sữa Wind - Nguyễn Thị Minh Khai,,,Đà Nẵng,Góc Ngã 4 Nguyễn Thị Minh Khai - Quang Trung;Quận Hải Châu,,,,500,,0905 002 802,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000075,Daisy Cafe - Lê Hồng Phong,,,Đà Nẵng,31/5 Lê Hồng Phong;Quận Hải Châu,,,,500,,0977 575 766,,,07:00 - 22:30,,,,,,,,,,,
@VNLAB,@000076,Rafew Cafe,,,Đà Nẵng,58 Hoàng Văn Thụ;Quận Hải Châu,,,,500,,,,,07:00 - 22:30,,,,,,,,,,,
@VNLAB,@000077,Underground Coffee To Go,,,Đà Nẵng,50 Phan Châu Trinh;Quận Hải Châu,,,,500,,0909 615 207,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000078,Namunamu Coffee - Bạch Đằng,,,Đà Nẵng,180 Bạch Đằng;Quận Hải Châu,,,,500,,(0511) 3 575 808 - 0901 988 208,,,07:00 - 00:00,,,,,,,,,,,
@VNLAB,@000079,Patio Cafe - Lê Hồng Phong,,,Đà Nẵng,22 Lê Hồng Phong;Quận Hải Châu,,,,500,,0905 768 001,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000080,Ava Chocolate & Tea Room,,,Đà Nẵng,124/3 Quang Trung;Quận Hải Châu,,,,500,,,,,16:00 - 22:00,,,,,,,,,,,
