Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000239,Aquarium Coffee,,,Đà Nẵng,69 Nguyễn Chí Thanh;Quận Hải Châu,,,,500,,0932 222 020 - 01223 540 520,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000240,Tit's Coffee House & Studio,,,Đà Nẵng,90 Trịnh Công Sơn;Quận Hải Châu,,,,500,,0935 499 888,,,07:30 - 22:00,,,,,,,,,,,
@VNLAB,@000241,Rover Coffee Shop & Workspace,,,Đà Nẵng,555 Tôn Đức Thắng;Quận Liên Chiểu,,,,500,,0935 645 121,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000242,Zu's Coffee,,,Đà Nẵng,1 Đào Duy Anh;Quận Thanh Khê,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000243,Cá Massage Cafe,,,Đà Nẵng,64 Đường 2 Tháng 9;Quận Hải Châu,,,,500,,0932 188 558,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000244,T - ZONE Milk Tea & Drinks,,,Đà Nẵng,756 Tôn Đức Thắng; P. Hòa Khánh Nam;Quận Liên Chiểu,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000245,Mưa Cafe,,,Đà Nẵng,180 Phan Đăng Lưu;Quận Hải Châu,,,,500,,0984 930 936,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000246,Mido Beans Cafe,,,Đà Nẵng,65 Phan Đăng Lưu;Quận Hải Châu,,,,500,,(0511) 6 534 465 - 0914 158 848,,,00:00 - 00:00,,,,,,,,,,,
@VNLAB,@000247,Daisy Cafe - Tố Hữu,,,Đà Nẵng,263 Tố Hữu; Hòa Cường Nam;Quận Hải Châu,,,,500,,,,,07:00 - 22:30,,,,,,,,,,,
@VNLAB,@000248,T-CE Coffee,,,Đà Nẵng,45A/1 Ngô Gia Tự;Quận Hải Châu,,,,500,,0905 240 014,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000249,Salsa Express - Vincom Center Đà Nẵng,,,Đà Nẵng,Tầng 4; Vincom Center; 910A Ngô Quyền;Quận Sơn Trà,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000250,18 Độ C - Milk Tea & Coffee,,,Đà Nẵng,52 Phan Chu Trinh;Quận Hải Châu,,,,500,,,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000251,Barney's Coffee,,,Đà Nẵng,169 Trần Hưng Đạo;Quận Sơn Trà,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000252,La Pensée Café & Librairie,,,Đà Nẵng,27 Yên Bái;Quận Hải Châu,,,,500,,0935 532 823,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000253,DOLL Coffee,,,Đà Nẵng,K151/1 Nguyễn Văn Thoại;Quận Sơn Trà,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000254,KaLi Coffee & Drink,,,Đà Nẵng,491/1 Hải Phòng;Quận Thanh Khê,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000255,Di lusso Caffè & Lounge,,,Đà Nẵng,14 Bạch Đằng;Quận Hải Châu,,,,500,,,,,07:00 - 23:00,,,,,,,,,,,
@VNLAB,@000256,The Garden House Cafe Bistro,,,Đà Nẵng,275 Nguyễn Văn Linh;Quận Thanh Khê,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000257,Vinh's Milk Tea & Bakery,,,Đà Nẵng,254 Trần Phú;Quận Hải Châu,,,,500,,(0511) 3 565 550,,,17:00 - 22:30,,,,,,,,,,,
@VNLAB,@000258,Hội Cafe,,,Đà Nẵng,46 Nguyễn Chí Thanh;Quận Hải Châu,,,,500,,0906 428 042,,,07:30 - 22:00,,,,,,,,,,,
