Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000319,A Việt Seafood Restaurant,,,Đà Nẵng,Lô 1 - 5 Phạm Văn Đồng;Quận Sơn Trà,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000320,Quán Ốc Ba Méo,,,Đà Nẵng,255 Nguyễn Hữu Thọ;Quận Hải Châu,,,,500,,0982 545 919,,,00:00 - 00:00,,,,,,,,,,,
@VNLAB,@000321,Misikga - Nhà Hàng Hàn Quốc,,,Đà Nẵng,Lô 04 - 05 Khu H2 Phạm Văn Đồng;Quận Sơn Trà,,,,500,,,,,10:00 - 22:30,,,,,,,,,,,
@VNLAB,@000322,Nhà Hàng Việt Thái - Món Ngon Việt,,,Đà Nẵng,405 Nguyễn Hữu Thọ; P. Khuê Trung;Quận Cẩm Lệ,,,,500,,(0511) 3 704 499,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000323,Thủy Hoa Viên,,,Đà Nẵng,Đường 2 Tháng 9;Quận Hải Châu,,,,500,,,,,08:00 - 22:30,,,,,,,,,,,
@VNLAB,@000324,La Lavende Restaurant - BBQ Buffet,,,Đà Nẵng,Khu Làng Pháp; Bà Nà Hills;Hòa Vang,,,,500,,,,,11:00 - 14:00,,,,,,,,,,,
@VNLAB,@000325,Moonlight - Sandy Beach Non Nước Resort,,,Đà Nẵng,Trường Sa;Quận Ngũ Hành Sơn,,,,500,,(0511) 3 961 777 - 0947 706 555,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000326,Da Nang By Night Cafe,,,Đà Nẵng,627 Nguyễn Tất Thành;Quận Thanh Khê,,,,500,,(0511) 3 712 157,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000327,My Thái Restaurant - Ẩm Thực Thái,,,Đà Nẵng,385 Trần Hưng Đạo;Quận Sơn Trà,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000328,Hồ Bình - Nhà Hàng & Du Lịch Sinh Thái,,,Đà Nẵng,Bãi Rạng; Bán Đảo Sơn Trà;Quận Sơn Trà,,,,500,,,,,10:00 - 21:00,,,,,,,,,,,
@VNLAB,@000329,Anh Em Restaurant,,,Đà Nẵng,226 - 228 Trần Phú;Quận Hải Châu,,,,500,,,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000330,Quán 168,,,Đà Nẵng,168 Phan Chu Trinh;Quận Hải Châu,,,,500,,,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000331,Nhà Hàng Bae Be - Ẩm Thực 3 Miền,,,Đà Nẵng,8 Phạm Tu; P. An Hải Bắc;Quận Sơn Trà,,,,500,,0934 944 098,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000332,Minh Châu Việt - Nhà Hàng Tiệc Cưới,,,Đà Nẵng,456 - 458 Nguyễn Tri Phương;Quận Thanh Khê,,,,500,,,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000333,Beluga Restaurant,,,Đà Nẵng,84 Đường 2 Tháng 9;Quận Hải Châu,,,,500,,(0511) 3 574 992 - (0511) 3 574 996,,,09:00 - 22:00,,,,,,,,,,,
