Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000019,Bún Đậu Mắm Tôm 180 - Nguyễn Thiện Thuật,,,Đà Nẵng,17B Nguyễn Thiện Thuật;Quận Hải Châu,,,,500,,090 646 88 77,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000020,Mote Pizza,,,Đà Nẵng,146 Lê Lợi; P. Hải Châu 1;Quận Hải Châu,,,,500,,01212 866 612,,,12:00 - 21:00,,,,,,,,,,,
@VNLAB,@000021,Sông Hương - Đặc Sản Huế,,,Đà Nẵng,137 Trần Nguyên Đán;Quận Liên Chiểu,,,,500,,0965 579 137,,,Sáng: 06:00 - 20:00 | Tối: 15:00 - 20:00,,,,,,,,,,,
@VNLAB,@000022,Mì Quảng Bà Mua - Trần Bình Trọng,,,Đà Nẵng,19 - 21 Trần Bình Trọng;Quận Hải Châu,,,,500,,0985 000 075,,,06:30 - 21:30,,,,,,,,,,,
@VNLAB,@000023,Nướng Cay - Lẩu & Nướng,,,Đà Nẵng,168 Đường 3 Tháng 2;Quận Hải Châu,,,,500,,,,,16:00 - 23:00,,,,,,,,,,,
@VNLAB,@000024,Điểm Tâm 294 - Nguyễn Hoàng,,,Đà Nẵng,294 Nguyễn Hoàng;Quận Thanh Khê,,,,500,,0905 545 121,,,06:00 - 11:30,,,,,,,,,,,
@VNLAB,@000025,Bò Né 3 Ngon,,,Đà Nẵng,20 Nguyễn Văn Linh;Quận Hải Châu,,,,500,,,,,07:00 - 11:00 | 17:00 - 21:00,,,,,,,,,,,
@VNLAB,@000026,Kimbap - Trưng Nữ Vương,,,Đà Nẵng,K168/24 Trưng Nữ Vương;Quận Hải Châu,,,,500,,01223 817 282 - 01225 908 032,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000027,Tiệm Ăn Chợ Lớn - Ông Ích Khiêm,,,Đà Nẵng,257 Ông Ích Khiêm;Quận Hải Châu,,,,500,,(0511) 3 867 286,,,06:00 - 04:00,,,,,,,,,,,
@VNLAB,@000028,Ốc Ken Sài Gòn - Đống Đa,,,Đà Nẵng,174 Đống Đa;Quận Hải Châu,,,,500,,(0236) 625 8889 - 0964 671 823 - 0983 91 92 98,,,Buổi trưa: 11:00 - 14:00 | Buổi tối: 16:00 - 23:00,,,,,,,,,,,
@VNLAB,@000029,Ăn Vặt Hương Cốm Quán,,,Đà Nẵng,38A Ngô Chi Lan;Quận Hải Châu,,,,500,,0908 901 988 - 0905 224 262,,,16:30 - 22:00,,,,,,,,,,,
@VNLAB,@000030,ShinShu - Cháo Ếch Singapore,,,Đà Nẵng,03 Đặng Thai Mai;Quận Thanh Khê,,,,500,,0914 490 088 - 0917 981 747,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000031,A Hải - Cơm Gà Xối Mỡ,,,Đà Nẵng,96 Phan Chu Trinh;Quận Hải Châu,,,,500,,0905 312 642,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000032,Mì Quảng Trang - Ông Ích Khiêm,,,Đà Nẵng,441 Ông Ích Khiêm;Quận Hải Châu,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000033,Đại Lộc - Bánh Tráng Thịt Heo & Mì Quảng,,,Đà Nẵng,97 Trưng Nữ Vương;Quận Hải Châu,,,,500,,0905 008 232 - 0907 172 145,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000034,Lẩu Nướng Ui Chao,,,Đà Nẵng,Lô 04B2.7 Nguyễn Văn Linh;Quận Hải Châu,,,,500,,0935 130 013,,,17:00 - 22:30,,,,,,,,,,,
@VNLAB,@000035,Kiki Quán - Ẩm Thực Hàn Quốc,,,Đà Nẵng,122A/11 Trưng Nữ Vương;Quận Hải Châu,,,,500,,0906 466 994,,,16:00 - 22:30,,,,,,,,,,,
@VNLAB,@000036,Quán Cỏ - Ẩm Thực Bò Việt,,,Đà Nẵng,302 Phan Chu Trinh;Quận Hải Châu,,,,500,,0905 482 371 - (0511) 3525 567,,,06:00 - 23:00,,,,,,,,,,,
@VNLAB,@000037,Quán Vân - Bánh Bèo - Nậm & Bột Lọc,,,Đà Nẵng,13A Thanh Tịnh;Quận Liên Chiểu,,,,500,,0935 760 755,,,11:00 - 20:00,,,,,,,,,,,
@VNLAB,@000038,Mọi Quán - Lẩu & Nướng,,,Đà Nẵng,114 Núi Thành;Quận Hải Châu,,,,500,,0906 401 192,,,16:00 - 22:30,,,,,,,,,,,
