Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000039,Edo Sushi,,,Đà Nẵng,56 Trần Phú;Quận Hải Châu,,,,500,,0127 3261368,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000040,Bánh Bèo Bà Bé,,,Đà Nẵng,100 Hoàng Văn Thụ;Quận Hải Châu,,,,500,,,,,07:00 - 18:00,,,,,,,,,,,
@VNLAB,@000041,Kin Kin - Thai Food,,,Đà Nẵng,48 Lê Thanh Nghị;Quận Hải Châu,,,,500,,Tố My 0905 696 387,,,10:00 - 23:00,,,,,,,,,,,
@VNLAB,@000042,Mì Quảng Thi - Hoàng Diệu,,,Đà Nẵng,251 Hoàng Diệu;Quận Hải Châu,,,,500,,,,,08:00 - 14:00 | 16:00 - 21:00,,,,,,,,,,,
@VNLAB,@000043,Hội An Quán - Ăn Vặt,,,Đà Nẵng,27 Nam Cao;Quận Liên Chiểu,,,,500,,0905 077 883 - 0935 652 692,,,14:00 - 22:00,,,,,,,,,,,
@VNLAB,@000044,Tứ Hải Quán - Nướng & Ốc Tự Chọn,,,Đà Nẵng,50 Lê Lợi;Quận Hải Châu,,,,500,,0903 569 616 - 01285 684 668,,,15:30 - 23:30,,,,,,,,,,,
@VNLAB,@000045,Bún Chả Cá - Nguyễn Chí Thanh,,,Đà Nẵng,109 Nguyễn Chí Thanh;Quận Hải Châu,,,,500,,(0511) 3 863 022,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000046,Mì Cay Naga Đà Nẵng,,,Đà Nẵng,307 Nguyễn Văn Linh;Quận Thanh Khê,,,,500,,0935 536 266 - 0988 568 690,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000047,Lẩu & Nướng Rammus - Hoàng Hoa Thám,,,Đà Nẵng,46B Hoàng Hoa Thám;Quận Thanh Khê,,,,500,,0905 002 304,,,17:00 - 23:30,,,,,,,,,,,
@VNLAB,@000048,Lẩu & Nướng Garden,,,Đà Nẵng,76 Thái Phiên;Quận Hải Châu,,,,500,,0978 543 320,,,16:30 - 23:00,,,,,,,,,,,
@VNLAB,@000049,Quán Xuân - Bún Thịt Nướng,,,Đà Nẵng,491 Hải Phòng;Quận Thanh Khê,,,,500,,(0511) 3 837 389,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000050,Hai Còi - Chân Gà Nướng,,,Đà Nẵng,Lô 2 Nguyễn Văn Thoại (Đối Diện 35 Nguyễn Văn Thoại);Quận Ngũ Hành Sơn,,,,500,,0912 87 60 60 - 0912 876 060,,,15:00 - 22:30,,,,,,,,,,,
@VNLAB,@000051,Hương Quán - Món Ngon Hà Nội,,,Đà Nẵng,40 Đỗ Quang;Quận Hải Châu,,,,500,,0945 545 979,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000052,Mộc 206 - Hải Sản Tươi Sống,,,Đà Nẵng,38A Nguyễn Hữu Thọ;Quận Hải Châu,,,,500,,0905 444 251,,,11:00 - 23:00,,,,,,,,,,,
@VNLAB,@000053,Vĩnh Tường - Beefsteak & Mì Ý,,,Đà Nẵng,325/1A Hùng Vương;Quận Thanh Khê,,,,500,,(0511) 3 692 086 - (0236) 3 692 086,,,06:30 - 10:30,,,,,,,,,,,
@VNLAB,@000054,Tiệm Phát Lợi - Hủ Tiếu - Hoành Thánh - Bò Kho,,,Đà Nẵng,236 Hải Phòng;Quận Thanh Khê,,,,500,,0906 568 123,,,07:00 - 10:00 | 17:00 - 21:00,,,,,,,,,,,
@VNLAB,@000055,Hoa Mập Quán - Cá Đuối Nướng,,,Đà Nẵng,Quảng Trường 2/9;Quận Hải Châu,,,,500,,,,,15:00 - 23:00,,,,,,,,,,,
@VNLAB,@000056,Quán Ngọc - Bún Mắm Heo Quay,,,Đà Nẵng,20 Đoàn Thị Điểm;Quận Hải Châu,,,,500,,,,,06:00 - 21:00,,,,,,,,,,,
