Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Mộc 206 - Hải Sản Tươi Sống,,,Đà Nẵng,38A Nguyễn Hữu Thọ;Quận Hải Châu,,,,500,,0905 444 251,,,11:00 - 23:00,,,,,,,,,,,
@VNLAB,@000002,Hàu Sữa - Hải Sản,,,Đà Nẵng,Lô 12 Võ Nguyên Giáp;Quận Sơn Trà,,,,500,,1900 2042,,,16:00 - 23:00,,,,,,,,,,,
@VNLAB,@000003,Thùng Phi - Lẩu & Nướng,,,Đà Nẵng,195/9 Nguyễn Văn Thoại;Quận Sơn Trà,,,,500,,0918 080 813 - 0934 542 233,,,17:00 - 23:00,,,,,,,,,,,
@VNLAB,@000004,Táo Mèo Quán - Hải Sản & Đặc Sản Lạng Sơn,,,Đà Nẵng,15 Tiểu La;Quận Hải Châu,,,,500,,01688 723 026,,,10:00 - 21:00,,,,,,,,,,,
@VNLAB,@000005,My Beer - Nhậu Bình Dân,,,Đà Nẵng,352 Hải Phòng;Quận Thanh Khê,,,,500,,,,,10:00 - 22:30,,,,,,,,,,,
@VNLAB,@000006,Dê Nghĩa 2 - Hệ Thống Dê Đà Nẵng,,,Đà Nẵng,43/12 Ngũ Hành Sơn (Đỗ Bá);Quận Ngũ Hành Sơn,,,,500,,0906 547 657 - 0935 435 657,,,09:00 - 23:00,,,,,,,,,,,
@VNLAB,@000007,Quán Nhậu Dũng Mập,,,Đà Nẵng,309 Nguyễn Tất Thành;Quận Thanh Khê,,,,500,,,,,16:00 - 23:00,,,,,,,,,,,
@VNLAB,@000008,Quán Nhậu Ly,,,Đà Nẵng,Ngã Ba Trần Hưng Đạo - Nguyễn Công Trứ;Quận Sơn Trà,,,,500,,,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000009,Sài Gòn Cay - Nhậu Bình Dân,,,Đà Nẵng,39 Hoàng Văn Thụ;Quận Hải Châu,,,,500,,0909 491 946,,,14:00 - 23:00,,,,,,,,,,,
@VNLAB,@000010,Hải Sản 88,,,Đà Nẵng,141 Trưng Nữ Vương;Quận Hải Châu,,,,500,,0905 122 855,,,09:00 - 22:00,,,,,,,,,,,
@VNLAB,@000011,Quán Á - Nhậu Bình Dân,,,Đà Nẵng,01 Nguyễn Đôn Tiết;Quận Hải Châu,,,,500,,0902 753 434 - 0902 56 54 54,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000012,Tuấn Râu - Nhậu Bình Dân,,,Đà Nẵng,K424/H9/4 Ông Ích Khiêm;Quận Hải Châu,,,,500,,,,,16:00 - 23:00,,,,,,,,,,,
@VNLAB,@000013,Quán Nhậu A Dũng - Lê Đình Thám,,,Đà Nẵng,K49/12 Lê Đình Thám;Quận Hải Châu,,,,500,,,,,10:00 - 13:30 | 16:30 - 22:00,,,,,,,,,,,
@VNLAB,@000014,Lẩu & Nướng Minion,,,Đà Nẵng,70 Nguyễn Huy Tưởng;Quận Liên Chiểu,,,,500,,0904 097 308,,,16:30 - 23:00,,,,,,,,,,,
@VNLAB,@000015,Quán Nhậu Nhúng Ớt,,,Đà Nẵng,10 Phạm Quang Ảnh;Quận Sơn Trà,,,,500,,0935 535 025 - 0945 535 225,,,11:00 - 24:00,,,,,,,,,,,
@VNLAB,@000016,Nam Béo - Quán Nhậu Hải Sản,,,Đà Nẵng,Lô 18 - 20 Võ Văn Kiệt;Quận Sơn Trà,,,,500,,0906 151 515,,,07:00 - 22:30,,,,,,,,,,,
@VNLAB,@000017,Quán Nhậu Heo Tộc,,,Đà Nẵng,81 Lê Thanh Nghị;Quận Hải Châu,,,,500,,0936 458 334,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000018,Trúc Vàng - Lẩu & Nướng,,,Đà Nẵng,145 Đường 3 Tháng 2;Quận Hải Châu,,,,500,,0934 984 289,,,12:00 - 22:30,,,,,,,,,,,
