Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000159,Quán Rim - Nhậu Bình Dân,,,Đà Nẵng,Nguyễn Chí Thanh (Đối Diện Cây Xăng);Quận Hải Châu,,,,500,,,,,20:00 - 03:00,,,,,,,,,,,
@VNLAB,@000160,Ba Anh - Lẩu Chân Gà,,,Đà Nẵng,Ngô Sĩ Liên;Quận Liên Chiểu,,,,500,,,,,06:00 - 23:00,,,,,,,,,,,
@VNLAB,@000161,Sáu Dung - Đặc Sản Rừng & Chim Đồng,,,Đà Nẵng,Ấp Bắc; P. Hòa Hải;Quận Ngũ Hành Sơn,,,,500,,0906 554 285,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000162,Năm Linh - Nhậu Bình Dân,,,Đà Nẵng,Lô 01 Bình Minh 1; P. Bình Thuận;Quận Hải Châu,,,,500,,0905 170 812,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000163,7 Nga - Bê Thui Nóng,,,Đà Nẵng,62B Bắc Sơn; P. Hòa An;Quận Cẩm Lệ,,,,500,,0931 608 460,,,18:00 - 23:00,,,,,,,,,,,
@VNLAB,@000164,Gỏi Cá Nhúng Giấm,,,Đà Nẵng,K37/H02/01 Lương Thế Vinh;Quận Sơn Trà,,,,500,,,,,16:00 - 22:30,,,,,,,,,,,
@VNLAB,@000165,A. Tuấn - Nhậu Bình Dân,,,Đà Nẵng,176/5 Nguyễn Hoàng;Quận Hải Châu,,,,500,,,,,15:00 - 21:00,,,,,,,,,,,
@VNLAB,@000166,Heo Mọi Quán - Phan Tứ,,,Đà Nẵng,28 Phan Tứ;Quận Ngũ Hành Sơn,,,,500,,,,,17:00 - 22:00,,,,,,,,,,,
@VNLAB,@000167,Quán O'tick - Hải Sản Tươi Sống,,,Đà Nẵng,436 Điện Biên Phủ;Quận Thanh Khê,,,,500,,0914 959 566,,,14:00 - 02:00,,,,,,,,,,,
@VNLAB,@000168,Cỏ Xanh Quán - Nhậu Bình Dân,,,Đà Nẵng,Trần Nhân Tông;Quận Sơn Trà,,,,500,,,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000169,Quán Kim - Nhậu Bình Dân,,,Đà Nẵng,Lô 41 - 43 Đường 30/4;Quận Hải Châu,,,,500,,(0511) 3 612 968,,,10:00 - 22:30,,,,,,,,,,,
@VNLAB,@000170,Quán Nhậu Tuấn - Hoàng Diệu,,,Đà Nẵng,H14/33 K266 Hoàng Diệu;Quận Hải Châu,,,,500,,,,,09:30 - 10:00,,,,,,,,,,,
@VNLAB,@000171,Bến Đỗ - Nhậu Bình Dân,,,Đà Nẵng,Lô 287 - 288 Trần Hưng Đạo;Quận Sơn Trà,,,,500,,,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000172,Gỏi Cá Phù Sa,,,Đà Nẵng,Ngô Xuân Thu;Quận Liên Chiểu,,,,500,,,,,10:00 - 22:30,,,,,,,,,,,
@VNLAB,@000173,Quán Lẩu Trung,,,Đà Nẵng,K138/15 Hoàng Văn Thái; P. Hòa Khánh Nam;Quận Liên Chiểu,,,,500,,,,,16:00 - 22:00,,,,,,,,,,,
@VNLAB,@000174,Bé Xíu - Hải Sản Tươi Sống,,,Đà Nẵng,Nguyễn Tất Thành;Quận Thanh Khê,,,,500,,,,,15:00 - 22:00,,,,,,,,,,,
@VNLAB,@000175,Thanh Vân - Nhậu Bình Dân,,,Đà Nẵng,Võ Nguyên Giáp;Quận Sơn Trà,,,,500,,,,,18:00 - 23:30,,,,,,,,,,,
@VNLAB,@000176,Bombia Công Châu - Nhậu Bình Dân,,,Đà Nẵng,140 Nguyễn Đức Trung;Quận Thanh Khê,,,,500,,0903 577 177,,,16:00 - 22:30,,,,,,,,,,,
@VNLAB,@000177,Quán Nhậu 777,,,Đà Nẵng,Ven Sông Đường Thăng Long;Quận Cẩm Lệ,,,,500,,0918 377 018 - 0916 473 631,,,09:00 - 22:30,,,,,,,,,,,
@VNLAB,@000178,Đa Đa Huy Quán - Yên Khê 1,,,Đà Nẵng,Lô 57 - 58 Yên Khê 1; Thanh Khê Đông;Quận Thanh Khê,,,,500,,,,,16:30 - 22:00,,,,,,,,,,,
