Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000259,Bánh Mì Minh Hưng - Ngô Quyền,,,Đà Nẵng,716 Ngô Quyền;Quận Sơn Trà,,,,500,,(0511) 3 932 085,,,07:00 - 21:30,,,,,,,,,,,
@VNLAB,@000260,Bánh Mì Hoàng Ly,,,Đà Nẵng,80 Nguyễn Trung Trực; P. An Hải Bắc;Quận Sơn Trà,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000261,Bánh Kem Sữa Tươi - 130 Phạm Tứ,,,Đà Nẵng,130 Phạm Tứ;Quận Cẩm Lệ,,,,500,,,,,08:00 - 21:00,,,,,,,,,,,
@VNLAB,@000262,Tiệm Bánh Đồng Thành,,,Đà Nẵng,128 Ông Ích Khiêm;Quận Thanh Khê,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000263,Bánh Mì Thảo Vân,,,Đà Nẵng,285 Trần Cao Vân;Quận Thanh Khê,,,,500,,01205 090 953,,,06:00 - 18:30,,,,,,,,,,,
@VNLAB,@000264,Bánh Kem Thủy Tiên,,,Đà Nẵng,Đường 605;Hòa Vang,,,,500,,0933 536 939,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000265,Bánh Khô Mè Quang Châu,,,Đà Nẵng,Tổ 6 Quang Châu; Hòa Châu;Hòa Vang,,,,500,,(0511) 3 684 059 - 01693 550 199,,,07:30 - 22:00,,,,,,,,,,,
@VNLAB,@000266,Tiệm Bánh Phương Hảo,,,Đà Nẵng,K39/6 Phạm Nhữ Tăng;Quận Thanh Khê,,,,500,,0905 712 291,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000267,Mani Tiramisu,,,Đà Nẵng,155 Nguyễn Chí Thanh;Quận Hải Châu,,,,500,,01286 443 151,,,08:00 - 19:00,,,,,,,,,,,
@VNLAB,@000268,LS Shop - Bánh Donut - Shop Online,,,Đà Nẵng,316 Núi Thành;Quận Hải Châu,,,,500,,0977 459 702,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000269,Bánh Mì Thanh Thu,,,Đà Nẵng,135 Nguyễn Văn Thoại;Quận Ngũ Hành Sơn,,,,500,,(0236) 6 288 135,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000270,Bánh Mì Mỹ Phượng - Nguyễn Nhàn,,,Đà Nẵng,Ngã 3 Nguyễn Nhàn - Phong Bắc 16;Quận Cẩm Lệ,,,,500,,,,,07:00 - 21:30,,,,,,,,,,,
@VNLAB,@000271,Đồng Thanh Bakery - Phan Châu Trinh,,,Đà Nẵng,79 Phan Châu Trinh;Quận Hải Châu,,,,500,,(0236) 3 824 305,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000272,Bánh Mì Tuyết Nhung,,,Đà Nẵng,Phía Tây Cầu Vượt;Quận Liên Chiểu,,,,500,,,,,07:30 - 22:00,,,,,,,,,,,
@VNLAB,@000273,Bánh Kem Kim Chi,,,Đà Nẵng,131 Lý Đạo Thành;Quận Sơn Trà,,,,500,,,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000274,Lò Bánh Mì Phương Hùng,,,Đà Nẵng,QL14B;Hòa Vang,,,,500,,01266 653 205,,,07:00 - 21:00,,,,,,,,,,,
@VNLAB,@000275,Anh Quân Bakery - Túy Loan,,,Đà Nẵng,Túy Loan;Hòa Vang,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000276,Bánh Mì Minh Vũ,,,Đà Nẵng,QL14B;Hòa Vang,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000277,Anh Quân Bakery - QL14B,,,Đà Nẵng,QL14B;Hòa Vang,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000278,Tiệm Bánh Nam Phát,,,Đà Nẵng,818 Nguyễn Lương Bằng;Quận Liên Chiểu,,,,500,,(0511) 3 770 186,,,07:00 - 22:00,,,,,,,,,,,
