Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000049,An Nhiên Quán - Thực Phẩm Chay,,,1,Quận Đống Đa,97 Vũ Ngọc Phan,21.0146110000000,105.8090870000000,500,,0976493262,,,07:30 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000050,Tịnh Thanh Thiên Lý - Vegan Restaurant,,,1,Quận Tây Hồ,Nhà 16A- Ngõ 12 Đặng Thai Mai,21.0622850132737,105.8213371038436,500,,0985558899,,,08:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,40 người lớn,,,,,,,,
@VNLAB,@000051,Quán Chay Liên Hương,,,1,Quận Cầu Giấy,83 Doãn Kế Thiện,21.0411383832952,105.7785360887646,500,,0976293146,,,08:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,40 người lớn,,,,,,,,
@VNLAB,@000052,An Lạc Chay Quán,,,1,Quận Tây Hồ,15 Đặng Thai Mai,21.0625112227604,105.8243753761053,500,,0979451848,,,07:00 - 18:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000053,Thiện Duyên - Cơm Chay,,,1,Quận Thanh Xuân,4 Ngõ 419 Giải Phóng,20.9950178000000,105.8414250000000,500,,0947681632,,,08:00 - 21:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,,,,,,,,
@VNLAB,@000054,Cơm Chay Lành,,,1,Quận Đống Đa,8 Ngách 2 Ngõ 34 Nguyên Hồng,21.0169450000000,105.8103580000000,500,,0989314367,,,09:00 - 21:00,Các ngày lễ trong năm, - ,40 người lớn,,,,,,,,
@VNLAB,@000055,Vô Ưu Quán - Ẩm Thực Chay,,,1,Quận Ba Đình,205 Đội Cấn,21.0349822000000,105.8231475000000,500,,,,,07:30 - 21:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,20 người lớn,,,,,,,,
@VNLAB,@000056,Tâm Sen - Ẩm Thực Chay,,,1,Quận Đống Đa,17 - 19 Ngõ 61 Thái Thịnh,21.0099219000000,105.8195340000000,500,,0435622299,,,10:00 - 23:00 | 00:00 - 00:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,200 người lớn,,,,,,,,
@VNLAB,@000057,Thảo Tâm - Quán Chay,,,1,Quận Hà Đông,Lô 4 Liền Kề 3- KĐT Văn Khê- P. La Khê,20.9742390000000,105.7614350000000,500,,01234804999,,,09:00 - 21:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,40 người lớn,,,,,,,,
@VNLAB,@000058,Lovegan - Đồ Ăn Chay,,,1,Quận Hà Đông,7 Nhà LK2 Vinaconex 2- Ngõ 804 Quang Trung,20.9573032472408,105.7564999230662,500,,0979244115,,,08:00 - 21:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000059,Chiharu - Ẩm Thực Nhật Bản,,,1,Quận Ba Đình,269C Kim Mã,21.0308326034944,105.8209123089909,500,,0979156731,,,Trưa: 10:30 - 14:00 | Tối: 18:00 - 22:30,Các ngày lễ trong năm, - ,80 người lớn,,,,,,,,
@VNLAB,@000060,Hồng Sen - Nhà Hàng Chay,,,1,Quận Cầu Giấy,Sảnh 1 Tòa Nhà Charm Vit- 117 Trần Duy Hưng,21.0077800000000,105.7974190000000,500,,0439115566,,,08:00 - 22:00,Các ngày lễ trong năm, - ,80 người lớn,,,,,,,,
@VNLAB,@000061,Tùy Duyên Quán - Trà & Cơm Chay,,,1,Quận Hai Bà Trưng,1A Phố Huế,21.0196280000000,105.8519940000000,500,,01298108108,,,07:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000062,Cơm Chay Phúc Lạc - Giáp Nhất,,,1,Quận Thanh Xuân,55 Giáp Nhất,21.0065594000000,105.8149399999999,500,,0983616569,,,08:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000063,Cơm Chay - Chùa Láng,,,1,Quận Đống Đa,Ngõ 157 Chùa Láng,21.0209961823663,105.8027497306466,500,,01658103606,,,09:00 - 13:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,20 người lớn,,,,,,,,
@VNLAB,@000064,Tuệ Tâm - Ẩm Thực Chay,,,1,Quận Đống Đa,96 Khương Thượng,21.0048180000000,105.8264630000000,500,,0987198611,,,07:00 - 22:00,Các ngày lễ trong năm, - ,50 người lớn,,,,,,,,
@VNLAB,@000065,Viên Nhã - Đồ Ăn Chay,,,1,Quận Đống Đa,104 Ngõ 171 Thái Hà,21.0155210000000,105.8159010000000,500,,0904781008,,,08:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,20 người lớn,,,,,,,,
@VNLAB,@000066,Không Gian Mandala - Ẩm Thực Chay,,,1,Quận Đống Đa,Ngõ 298 Tây Sơn,21.0079772847860,105.8216753974556,500,,0966336336,,,08:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000067,Tích Thiện Sen Hồng - Món Chay Việt,,,1,Quận Ba Đình,155 Đội Cấn,21.0349202027118,105.8261841908097,500,,,,,07:30 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,20 người lớn,,,,,,,,
@VNLAB,@000068,Đại Từ - Thực Phẩm Chay,,,1,Quận Thanh Xuân,288 Khương Đình,20.9908920000000,105.8132840000000,500,,0904867399,,,07:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,10 người lớn,,,,,,,,
@VNLAB,@000069,Cơm Chay Tú Hảo,,,1,Quận Hoàn Kiếm,18 Hai Bà Trưng,21.0239608530787,105.8539876341819,500,,,,,07:30 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,20 người lớn,,,,,,,,
@VNLAB,@000070,Bánh Cuốn & Bún Chả - Thượng Đình,,,1,Quận Thanh Xuân,244 Thượng Đình,20.9962781803779,105.8151807636022,500,,,,,06:30 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,25 người lớn,,,,,,,,
@VNLAB,@000071,Tịnh Nghiệp - Ẩm Thực Chay,,,1,Quận Ba Đình,56A Đội Cấn,21.0351591000000,105.8277521000000,500,,0462593292,,,09:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000072,Cơm Chay Quảng Phúc,,,1,Quận Cầu Giấy,103B C3 Nghĩa Tân,21.0421613181375,105.7931262999773,500,,0995473552,,,10:00 - 20:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000073,Cá Lăng Việt Trì - KĐT Linh Đàm,,,1,Quận Hoàng Mai,BT4 TT3C KĐT Linh Đàm,20.9625839464384,105.8250144124031,500,,0438570667,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,65 người lớn,,,,,,,,
@VNLAB,@000074,Lý Số Hội Quán - Đồ Ăn Chay,,,1,Quận Đống Đa,104 Mai Anh Tuấn,21.0191647105980,105.8209709823131,500,,0422415668,,,10:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000075,Spring Lotus - Dưỡng Sinh Chay,,,1,Quận Hoàn Kiếm,56 Mã Mây,21.0349730000000,105.8534610000000,500,,0904249519,,,07:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000076,Budda Chay,,,1,Quận Tây Hồ,Đầu Ngõ 354 Lạc Long Quân,21.0651450000000,105.8101990000000,500,,,,,09:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000077,Cửa Hàng Thực Phẩm Chay - Thái Thịnh,,,1,Quận Đống Đa,15 Ngõ 97 Thái Thịnh,21.0107817365698,105.8179395667953,500,,0439907039,,,08:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,20 người lớn,,,,,,,,
