Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000049,Nước Mía Trân Châu - Hàng Vải,,,1,Quận Hoàn Kiếm,35 Hàng Vải,21.0356140000000,105.8464910000000,500,,,,,08:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,10 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000050,Chân Gà Hấp Sả Ớt Mắt To,,,1,Quận Hoàn Kiếm,19 - 23 Lương Ngọc Quyến,21.0348395000000,105.8525634000000,500,,0912881989,,,17:00 - 23:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000051,Chè Tự Chọn - Tạ Quang Bửu,,,1,Quận Hai Bà Trưng,Tạ Quang Bửu,21.0040470000000,105.8472060000000,500,,,,,09:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000052,Quán 20 - Bún Lòng & Chân Gà Rang Muối,,,1,Quận Hoàn Kiếm,20 Hai Bà Trưng,21.0239540000000,105.8539850000000,500,,0985846417,,,15:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,35 người lớn,,,,,,,,
@VNLAB,@000053,Ốc Quế Hồ Tây,,,1,Quận Ba Đình,1 Thanh Niên,21.0472560000000,105.8372037112712,500,,,,,09:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,10 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000054,Chú Long Kim Liên - Ăn Vặt & Sinh Tố,,,1,Quận Đống Đa,Ngõ 4C Đặng Văn Ngữ,21.0099783000000,105.8312063000000,500,,0906221212,,,09:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000055,Chè Trang - Chè Ba Miền,,,1,Quận Cầu Giấy,Ngõ 201 Trần Quốc Hoàn,21.0417520341178,105.7827337764865,500,,,,,08:30 - 21:00 | 00:00 - 00:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000056,Bánh Mì Nướng Muối Ớt,,,1,Quận Đống Đa,25 Ngõ 157 Pháo Đài Láng,21.0178550000000,105.8044580000000,500,,0962906769,,,09:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000057,Trang - Bún Riêu Sườn Sụn,,,1,Quận Hoàn Kiếm,23 Nguyễn Siêu,21.0365020000000,105.8518660000000,500,,,,,06:00 - 14:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,10 người lớn,,,,,,,,
@VNLAB,@000058,Sữa Chua Ông Già Tóc Bạc - Xã Đàn,,,1,Quận Đống Đa,492 Xã Đàn,21.0172010000000,105.8312270000000,500,,0904291490,,,09:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,25 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000059,Bami King - Bánh Mì Bò Nướng - Láng Hạ,,,1,Quận Đống Đa,161 Láng Hạ,21.0112300000000,105.8115110000000,500,,0948996008,,,06:30 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000060,Nem Chua Rán - Tạm Thương,,,1,Quận Hoàn Kiếm,36 Tạm Thương- Phường Hàng Gai- Quận Hoàn Kiếm- Hà Nội,21.0311120000000,105.8479410000000,500,,0438285322,,,08:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000061,Chè Thái Yom - Ô Chợ Dừa,,,1,Quận Đống Đa,115 Ô Chợ Dừa,21.0199834000000,105.8268254000000,500,,0966277308,,,07:30 - 21:30,50 người lớn,Có chỗ để ô tô - Giữ xe máy miễn phí,Uống bia - Nhậu -  Họp nhóm -  Ăn vặt -  Ngắm cảnh,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000062,Bánh Tráng Trộn - 90 Hàng Trống,,,1,Quận Hoàn Kiếm,90 Hàng Trống,21.0298196050927,105.8501336351037,500,,0904967564,,,17:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,25 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000063,Chè Bun - Trần Quốc Hoàn,,,1,Quận Cầu Giấy,1E Trần Quốc Hoàn,21.0414484875640,105.7890433073043,500,,,,,10:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000064,Bánh Mì Minh Nhật - Nguyễn Du,,,1,Quận Hai Bà Trưng,27 Nguyễn Du,21.0184051376995,105.8509543910622,500,,1900636146,,,07:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,10 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000065,Nem Nướng Yến Béo - Yên Phụ,,,1,Quận Tây Hồ,44 Yên Phụ,21.0466153367375,105.8435699343681,500,,,,,18:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000066,Ăn Vặt Trường Bế Văn Đàn,,,1,Quận Đống Đa,Ngõ 14 Hồ Đắc Di,21.0123740000000,105.8288470000000,500,,,,,08:00 - 19:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000067,Nem Nộm Gia Truyền Hoa Mai - Thành Công,,,1,Quận Ba Đình,111A5 Thành Công,21.0208890000000,105.8158200000000,500,,0945239262,,,10:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000068,Bà Lợi - Bánh Mì Bơ Nướng Mật Ong,,,1,Quận Đống Đa,102 Khâm Thiên,21.0191769163113,105.8373740315437,500,,0987871963,,,16:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,5 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000069,Bò Nầm Nướng Bà Hoa,,,1,Quận Hoàn Kiếm,33 Hàng Giấy,21.0393260000000,105.8479980000000,500,,,,,16:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000070,Gánh Bún Ốc Cô Huê - Đặng Dung,,,1,Quận Ba Đình,16 Đặng Dung,21.0428140000000,105.8413430000000,500,,01635345320,,,06:00 - 14:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000071,Gánh Canh Bún,,,1,Quận Hoàn Kiếm,21 Nguyễn Siêu,21.0365540000000,105.8516460000000,500,,,,,11:00 - 15:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,10 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000072,Trà Sữa 172 - Triệu Việt Vương,,,1,Quận Hai Bà Trưng,172 Triệu Việt Vương,21.0123014988326,105.8503720164299,500,,0439761317,,,09:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000073,Xôi Cô Kim - Lò Đúc,,,1,Quận Hai Bà Trưng,Đầu Ngõ 25 Lò Đúc,21.0174970000000,105.8557120000000,500,,,,,17:00 - 02:00 | 00:00 - 00:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,Việt Nam,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000074,Pop Quán - Phố Huế,,,1,Quận Hai Bà Trưng,162 Phố Huế,21.0150042000000,105.8515073000000,500,,0948768668,,,17:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000075,Bánh Mì 25 - Hàng Cá,,,1,Quận Hoàn Kiếm,25 Hàng Cá- P. Hàng Đào,21.0360937003724,105.8486621081829,500,,,,,07:00 - 20:15,Các ngày lễ trong năm,Có chỗ để ô tô - ,10 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
