Mã cửa hàng,Link ảnh
@000001,https://media.foody.vn/res/g10/95877/prof/s480x300/foody-mobile-ghf546-jpg-171-636137015804800853.jpg
@000002,https://media.foody.vn/res/g9/87201/prof/s480x300/foody-mobile-thhm1-jpg-937-635769740350404754.jpg
@000003,https://media.foody.vn/res/g10/94950/prof/s480x300/foody-mobile-cotoan-jpg-374-636088383468583323.jpg
@000004,https://media.foody.vn/res/g8/72396/prof/s480x300/foody-mobile-nui-jpg-173-636159392343249281.jpg
@000005,https://media.foody.vn/res/g5/47162/prof/s480x300/foody-mobile-waffle-jpg-770-636132597569692502.jpg
@000006,https://media.foody.vn/res/g4/32713/prof/s480x300/foody-mobile-btn-jpg-886-635751628532063198.jpg
@000007,https://media.foody.vn/res/g5/49692/prof/s480x300/foody-mobile-tuga-jpg-466-636147991210200441.jpg
@000008,https://media.foody.vn/res/g10/93262/prof/s480x300/foody-mobile-mr2-jpg-270-635744694574748088.jpg
@000009,https://media.foody.vn/res/g6/53543/prof/s480x300/foody-mobile-foody-banh-gio-dong--413-635790387401866373.jpg
@000010,https://media.foody.vn/res/g7/68025/prof/s480x300/foody-mobile-bmcnt-jpg-418-635779998926454203.jpg
@000011,https://media.foody.vn/res/g13/128472/prof/s480x300/foody-mobile-6232626-jpg-571-636127333889187032.jpg
@000012,https://media.foody.vn/res/g16/153511/prof/s480x300/foody-mobile-bami-jpg-506-635762825278271817.jpg
@000013,https://media.foody.vn/res/g6/59926/prof/s480x300/foody-mobile-hmb-h-jpg-199-635787088478912875.jpg
@000014,https://media.foody.vn/res/g2/17522/prof/s480x300/foody-mobile-tp-nt-jpg-170-636252769113817332.jpg
@000015,https://media.foody.vn/res/g2/10757/prof/s480x300/foody-mobile-ncbg1-jpg-886-635779333723345835.jpg
@000016,https://media.foody.vn/res/g17/163410/prof/s480x300/foody-mobile-banh-trang-jpg-941-635847381931683219.jpg
@000017,https://media.foody.vn/res/g9/88564/prof/s480x300/foody-mobile-654654-jpg-190-636127543864682725.jpg
@000018,https://media.foody.vn/res/g7/68068/prof/s480x300/foody-mobile-banh-mi-chao-xuyen-viet-ha-noi-140328031224.jpg
@000019,https://media.foody.vn/res/g12/111781/prof/s480x300/foody-mobile-bun-oc-jpg-918-636148001109710751.jpg
@000020,https://media.foody.vn/res/g8/72895/prof/s480x300/foody-mobile-bun-bo-jpg-373-635854404466178764.jpg
@000021,https://media.foody.vn/res/g17/161443/prof/s480x300/foody-mobile-11222249_10086341858-860-635754890843395190.jpg
@000022,https://media.foody.vn/res/g7/61314/prof/s480x300/foody-mobile-mobile-jpg-445-635761874631478094.jpg
@000023,https://media.foody.vn/res/g9/85382/prof/s480x300/foody-mobile-6354548486-jpg-287-636127439041127945.jpg
@000024,https://media.foody.vn/res/g11/105372/prof/s480x300/foody-mobile-mobile-jpg-198-635773345561222210.jpg
@000025,https://media.foody.vn/res/g10/92529/prof/s480x300/foody-mobile-xc2-jpg-222-635748821914557378.jpg
@000026,https://media.foody.vn/res/g5/46542/prof/s480x300/foody-mobile-thit-xien-rau-cau-jp-474-635788628388102924.jpg
@000027,https://media.foody.vn/res/g21/206637/prof/s480x300/foody-mobile-foody-co-rep-rebeca--959-635889662424334750.jpg
@000028,https://media.foody.vn/res/g8/77695/prof/s480x300/foody-mobile-tao-pho-ne-ha-noi-140603060114.jpg
@000029,https://media.foody.vn/res/g10/95927/prof/s480x300/foody-mobile-co-long-jpg-945-636263894836766905.jpg
@000030,https://media.foody.vn/res/g10/92243/prof/s480x300/foody-mobile-sushi1-jpg-664-635845640136987918.jpg
@000031,https://media.foody.vn/res/g10/97655/prof/s480x300/foody-mobile-hd-jpg-493-635755772147287118.jpg
@000032,https://media.foody.vn/res/g7/69630/prof/s480x300/foody-mobile-4-jpg-882-635773195712351015.jpg
@000033,https://media.foody.vn/res/g10/96005/prof/s480x300/foody-mobile-long-ran-mb-jpg-787-635893394154741196.jpg
@000034,https://media.foody.vn/res/g10/92455/prof/s480x300/foody-mobile-chao-suon-hn-jpg-572-636178456949194080.jpg
@000035,https://media.foody.vn/res/g23/220974/prof/s480x300/foody-mobile-foody-cut-lon-xao-me-343-635942376279181776.jpg
@000036,https://media.foody.vn/res/g10/91486/prof/s480x300/foody-mobile-nem-lui1-jpg-635448430388779305.jpg
@000037,https://media.foody.vn/res/g9/87966/prof/s480x300/foody-mobile-duc1-jpg-547-635850839747373802.jpg
@000038,https://media.foody.vn/res/g10/94378/prof/s480x300/foody-mobile-btt-jpg-854-635852506832133881.jpg
@000039,https://media.foody.vn/res/g9/81277/prof/s480x300/foody-mobile-em-thuy-nem-chua-nuong-ha-noi-140610034936.jpg
@000040,https://media.foody.vn/res/g12/116496/prof/s480x300/foody-mobile-hmb-s-jpg-912-635794011070723370.jpg
@000041,https://media.foody.vn/res/g6/52234/prof/s480x300/foody-mobile-kitty-jpg-445-635860289346343111.jpg
@000042,https://media.foody.vn/res/g13/128675/prof/s480x300/foody-mobile-banh-mi-jpg-238-635941670547914074.jpg
@000043,https://media.foody.vn/res/g2/10896/prof/s480x300/foody-mobile-txbn2-jpg-915-635743841962894555.jpg
@000044,https://media.foody.vn/res/g1/9193/prof/s480x300/foody-mobile-bun2-jpg-785-635760934352618581.jpg
@000045,https://media.foody.vn/res/g2/11000/prof/s480x300/foody-mobile-nuong1-jpg-142-635929436286928750.jpg
@000046,https://media.foody.vn/res/g13/125053/prof/s480x300/foody-mobile-quay-beo-mb-jpg-613-635781827437177812.jpg
@000047,https://media.foody.vn/res/g9/83489/prof/s480x300/foody-mobile-xoi-jpg-470-635756842692760673.jpg
@000048,https://media.foody.vn/res/g11/103748/prof/s480x300/foody-mobile-sup-jpg-982-635860367985769234.jpg
