Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000113,Múc Quán - Sữa Chua Úp Ngược,,,1,Quận Đống Đa,103 D6 Ngõ 4B Đặng Văn Ngữ,21.0099830000000,105.8322590000000,500,,01659821596,,,10:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000114,Bee The Drink House - Hồ Xuân Hương,,,1,Quận Hai Bà Trưng,1B Hồ Xuân Hương,21.0184460000000,105.8490440000000,500,,0462603531,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000115,Hạt Dẻ Quán - Đồ Ăn Vặt,,,1,Quận Ba Đình,38 C8 Ngõ 12 Núi Trúc,21.0284842642723,105.8228988200426,500,,0432373193,,,10:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000116,Bánh Tôm & Bánh Gối - Nghĩa Tân,,,1,Quận Cầu Giấy,A20 Nghĩa Tân,21.0438617088109,105.7932731509208,500,,,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000117,Cháo Sườn Bách Khoa - Tạ Quang Bửu,,,1,Quận Hai Bà Trưng,Ngõ 17 Tạ Quang Bửu,21.0035470000000,105.8478640000000,500,,,,,15:00 - 20:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,25 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000118,Nướng Mẹt - Lĩnh Nam,,,1,Quận Hoàng Mai,Đối Diện 195 Lĩnh Nam,20.9850020140566,105.8713710308075,500,,,,,18:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,60 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000119,Tào Phớ & Nem Chua Rán - Đại Từ,,,1,Quận Hoàng Mai,Đối Diện 172 Đại Từ,20.9711440000000,105.8338270000000,500,,,,,16:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000120,Gyros - Bánh Mì Cuộn Hi Lạp,,,1,Quận Ba Đình,2 Hàng Than,21.0433030000000,105.8470240000000,500,,01649261728,,,07:00 - 19:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,15 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000121,Chè Dung - Hàng Bạc,,,1,Quận Hoàn Kiếm,95 Hàng Bạc,21.0338643598507,105.8520825952291,500,,0439260097,,,08:00 - 20:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,10 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000122,Bánh Mì Chảo Hiệu Lực - Trần Đại Nghĩa,,,1,Quận Hai Bà Trưng,88 Trần Đại Nghĩa,21.0050276000000,105.8456701000000,500,,0972701989,,,06:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,25 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000123,Gà Xiên Chiên - Lương Định Của,,,1,Quận Đống Đa,C5 TT Kim Liên,21.0042388794491,105.8355930447578,500,,0948549502,,,13:00 - 18:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000124,Bún Ốc Tóp Mỡ Bà Giao,,,1,Quận Hai Bà Trưng,Số 18- Ngõ 433- Bạch Mai,20.9984270000000,105.8504340000000,500,,,,,07:00 - 15:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000125,Ốc Dì Tú,,,1,Quận Ba Đình,144C Quán Thánh,21.0426300000000,105.8415070000000,500,,0904364488,,,17:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
