Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Avalon Cafe Lounge,,,1,Quận Hoàn Kiếm,73 Cầu Gỗ,21.0321660000000,105.8519040000000,500,,0439260801,,,07:00 - 23:00,Café/Dessert , Bar/Pub, - Giữ xe máy miễn phí,Tây Âu,,,,,,,,
@VNLAB,@000002,O'learys - Nhà Hàng Thể Thao,,,1,Quận Hoàn Kiếm,38 Bà Triệu,21.0234332067188,105.8507495373487,500,,0902269938,,,06:00 - 23:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000003,Swing Music Lounge - Tràng Tiền,,,1,Quận Hoàn Kiếm,Tầng 3- 21 Tràng Tiền,21.0245860000000,105.8561400000000,500,,04908552121,,,20:00 - 23:45,200 người lớn, - ,Hẹn hò -  Họp nhóm -  Tiếp khách -  Thư giãn -  Nghe nhạc,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000004,The Rooftop Bar & Restaurant,,,1,Quận Hoàn Kiếm,83B Lý Thường Kiệt- P. Trần Hưng Đạo,21.0251560000000,105.8436050000000,500,,0439461901,,,17:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,200 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000005,Taboo Lounge & Bar,,,1,Quận Tây Hồ,2 Thụy Khuê,21.0428900000000,105.8357620000000,500,,0437282996,,,10:00 - 23:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,500 người lớn,,,,,,,,
@VNLAB,@000006,Puku Cafe & Bar,,,1,Quận Hoàn Kiếm,16 - 18 Tống Duy Tân,21.0291470000000,105.8436530000000,500,,0439381745,,,00:00 - 00:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,80 người lớn,,,,,,,,
@VNLAB,@000007,The Summit Lounge - Pan Pacific Hotel Hanoi,,,1,Quận Ba Đình,Tầng 20- Pan Pacific Hotel Hanoi- 1 Thanh Niên,21.0498870000000,105.8399570000000,500,,0438238888,,,16:00 - 00:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,150 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000008,Betta Bar,,,1,Quận Ba Đình,34C Cao Bá Quát- P. Điện Biên,21.0303730000000,105.8380260000000,500,,0904114633,,,Tối - Khuya: 18:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,40 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000009,Hay Bar - Tạ Hiện,,,1,Quận Hoàn Kiếm,12 Tạ Hiện,21.0349700000000,105.8520400000000,500,,0904996585,,,19:00 - 23:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,70 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000010,Sunset Bar - InterContinental Hanoi Westlake,,,1,Quận Tây Hồ,InterContinental Hanoi Westlake- 5 Từ Hoa,21.0573690175993,105.8308334648609,500,,0462708888,,,16:00 - 00:00,Các ngày lễ trong năm, - ,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000011,1900 Le Théâtre Bar,,,1,Quận Hoàn Kiếm,8 Tạ Hiện,21.0345390000000,105.8520800000000,500,,0911111900,,,10:00 - 01:00,Khoảng 3 - 10 phút,Có chỗ để ô tô - Giữ xe máy miễn phí,Bar/Pub,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000012,I-Feel Cafe & Lounge,,,1,Quận Hoàn Kiếm,63 Cầu Gỗ- Hàng Bạc- Quận Hoàn Kiếm- Hà Nội,21.0321760000000,105.8529780000000,500,,0439350128,,,08:00 - 23:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000013,Six Pub - Hàng Tre,,,1,Quận Hoàn Kiếm,Tầng 6- 20 Hàng Tre,21.0326710000000,105.8554360000000,500,,01278223333,,,16:00 - 02:00,Không nghỉ lễ,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000014,Hair Of The Dog,,,1,Quận Hoàn Kiếm,32 Mã Mây,21.0356260000000,105.8533790000000,500,,,,,19:00 - 01:00,Các ngày lễ trong năm, - ,150 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000015,Lavender Garden Bar,,,1,Quận Hoàn Kiếm,22 Cầu Đất,21.0253540000000,105.8611110000000,500,,0439329990,,,18:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000016,The Moose & Roo Pub & Grill,,,1,Quận Hoàn Kiếm,42B Mã Mây- Hoàn Kiếm,21.0354650000000,105.8534060000000,500,,0904702449,,,10:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000017,The Muse's Home - Food- Drink & Shisha,,,1,Quận Hoàn Kiếm,54 Lương Văn Can,21.0325162247766,105.8507877588272,500,,0975350607,,,07:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,45 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000018,Dragon Fly Bar - Hàng Buồm,,,1,Quận Hoàn Kiếm,15 Hàng Buồm,21.0361110000000,105.8523860000000,500,,0936993557,,,18:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000019,Tadioto Bar - Tông Đản,,,1,Quận Hoàn Kiếm,24B Tông Đản,21.0255769540340,105.8580427989363,500,,0466809124,,,09:00 - 00:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000020,Skyline Hanoi - Gia Ngư,,,1,Quận Hoàn Kiếm,38 Gia Ngư,21.0331020000000,105.8523917000000,500,,0462698899,,,06:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000021,Hero Bar - Yên Phụ,,,1,Quận Ba Đình,42M Đường Yên Phụ,21.0479063952055,105.8423414826393,500,,0989264242,,,20:00 - 00:00,Hẹn hò ,  Họp nhóm ,  Hát hò ,  Thư giãn ,  Nghe nhạc,Có chỗ để ô tô - Giữ xe máy miễn phí,www.facebook.com/Herobarhanoi/timeline?ref=page_internal,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000022,Rio Cafe & Bar - Thái Hà,,,1,Quận Đống Đa,25 Ngõ Thái Hà- Láng Hạ,21.0155873000000,105.8154617999999,500,,0914308998,,,07:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,150 người lớn,,,,,,,,
