Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000001,Sumo BBQ - Hoàng Quốc Việt - Buffet Nướng & Lẩu,,,1,Quận Cầu Giấy,132 - 134 Hoàng Quốc Việt,21.0463130000000,105.7908840000000,500,,0437480790,,,10:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,150 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000002,Buffet Sen - Lý Thái Tổ,,,1,Quận Hoàn Kiếm,60 Lý Thái Tổ,21.0248350000000,105.8569250000000,500,,0439744192,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000003,Isushi Buffet Nhật Bản - Hai Bà Trưng,,,1,Quận Hoàn Kiếm,22B Hai Bà Trưng,21.0240910000000,105.8535960000000,500,,19006622,,,10:30 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000004,Yakimono - Nướng Nhật Bản - Trần Thái Tông,,,1,Quận Cầu Giấy,A109 D5 Trần Thái Tông,21.0333760000000,105.7883280000000,500,,0943286786,,,09:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000005,Seoul Garden - Buffet Lẩu & Nướng Trần Hưng Đạo,,,1,Quận Hoàn Kiếm,33 Trần Hưng Đạo- P. Phan Chu Trinh,21.0204190000000,105.8542910000000,500,,0439449666,,,Cả Ngày: 08:00 - 23:00,Khoảng 5 - 10 phút,Có chỗ để ô tô - ,Nhà hàng - Buffet,,,,,,,,
@VNLAB,@000006,Sứ Buffet - Hải Sản Á & Âu,,,1,Quận Hoàn Kiếm,64 Nguyễn Du,21.0193370000000,105.8464050000000,500,,0439413338,,,Đang cập nhật,Các ngày lễ trong năm,Có chỗ để ô tô - ,200 người lớn,,,,,,,,
@VNLAB,@000007,Nhà Hàng Hương Sen - Buffet Hải Sản Cao Cấp,,,1,Quận Nam Từ Liêm,269 Đỗ Đức Dục- Mễ Trì,21.0050950000000,105.7821180000000,500,,0437320589,,,10:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,1000 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000008,King BBQ Deli Buffet - Mipec Tower,,,1,Quận Đống Đa,Tầng 1- Mipec Tower- 229 Tây Sơn,21.0034150000000,105.8209400000000,500,,0466805805,,,08:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,200 người lớn,,,,,,,,
@VNLAB,@000009,Tokyo Yakiniku - Buffet Lẩu Nướng Nhật Bản - Vincom Bà Triệu,,,1,Quận Hai Bà Trưng,Tầng 5- Vincom Bà Triệu- 191 Bà Triệu,21.0108350000000,105.8493470000000,500,,0462654444,,,10:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000010,Kowloon - Buffet Dimsum & Lẩu Hồng Kông,,,1,Quận Đống Đa,116-B6 Phạm Ngọc Thạch,21.0083790000000,105.8335460000000,500,,0432247666,,,11:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000011,Lã Vọng - Seafood & Buffet,,,1,Quận Cầu Giấy,2A Nguyễn Thị Thập,21.0059140000000,105.8012990000000,500,,1900585836,,,10:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,500 người lớn,,,,,,,,
@VNLAB,@000012,Sashimi BBQ Garden - Nguyễn Thị Thập,,,1,Quận Cầu Giấy,2B Nguyễn Thị Thập,21.0050151000000,105.8001423000000,500,,1900585836,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,1000 người lớn,,,,,,,,
@VNLAB,@000013,K-Pub - Korean BBQ Garden - Times City,,,1,Quận Hoàng Mai,B1 Times City- 458 Minh Khai,20.9936886000000,105.8680609000000,500,,0919189152,,,09:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,150 người lớn,,,,,,,,
@VNLAB,@000014,Royal Buffet - Royal City,,,1,Quận Thanh Xuân,Royal City- 72A Nguyễn Trãi,21.0023260000000,105.8155850000000,500,,0466642626,,,10:00 - 22:00,Các ngày lễ trong năm, - ,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000015,Buffet Vườn Restaurant - Royal City,,,1,Quận Thanh Xuân,Lô 40A-B2R6 TTTM Royal City- 72 Nguyễn Trãi,21.0036910000000,105.8147250000000,500,,0462620869,,,09:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000016,Buffet Hà Nội Vặt,,,1,Quận Ba Đình,113 D4 Giảng Võ,21.0263820000000,105.8213310000000,500,,0988094512,,,13:00 - 21:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,80 người lớn,,,,,,,,
@VNLAB,@000017,Nghiện Lẩu Buffet,,,1,Quận Hai Bà Trưng,2B Ngõ Bà Triệu- Bà Triệu,21.0124410000000,105.8489900000000,500,,0466565116,,,Sáng: 11:00 - 14:30 | Chiều: 17:30 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000018,L'annam Seafood Buffet,,,1,Quận Hai Bà Trưng,177 Bùi Thị Xuân,21.0120760000000,105.8498170000000,500,,0462659333,,,Buổi trưa:: 10:00 - 15:00 | Chiều tối:: 17:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000019,Osaka BBQ - Lẩu Nướng Nhật Bản,,,1,Quận Hai Bà Trưng,20 Đường 9- Tầng B1- TTTM Times City- 458 Minh Khai,20.9949770000000,105.8691890000000,500,,0432002165,,,10:30 - 22:30,Các ngày lễ trong năm, - ,80 người lớn,,,,,,,,
@VNLAB,@000020,Kowloon - Buffet Dimsum & Lẩu Hồng Kông - Vincom Bà Triệu,,,1,Quận Hai Bà Trưng,Tầng 5 Vincom Bà Triệu- 191 Bà Triệu,21.0109120000000,105.8492650000000,500,,0432247666,,,10:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,80 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000021,GoGi House - Nướng Hàn Quốc - Water Mark,,,1,Quận Tây Hồ,Chung Cư Water Mark- 395 Lạc Long Quân,21.0561250000000,105.8086900000000,500,,,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000022,Sariwon - Lẩu Nướng Hàn Quốc - Nguyễn Khánh Toàn,,,1,Quận Cầu Giấy,Lô 2 Nguyễn Khánh Toàn,21.0369420000000,105.8016770000000,500,,0466642602,,,Trưa: 10:00 - 14:00 | Tối: 17:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000023,Buffet Sen Việt - Sahul Hà Nội,,,1,Quận Hai Bà Trưng,684 Minh Khai,21.0007228534668,105.8710189625829,500,,0439874720,,,11:00 - 21:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn,,,,,,,,
@VNLAB,@000024,Sing Restaurant Buffet Lẩu Hải Sản - Vincom Long Biên,,,1,Quận Long Biên,TTTM Vincom Long Biên,21.0348190000000,105.9098980000000,500,,0439748528,,,09:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000025,Yakimono - Nướng Nhật Bản - Lê Trọng Tấn,,,1,Quận Thanh Xuân,98 Lê Trọng Tấn,20.9975430000000,105.8291940000000,500,,0942386786,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,80 người lớn,,,,,,,,
@VNLAB,@000026,Buffet Việt - Tăng Bạt Hổ,,,1,Quận Hai Bà Trưng,1A Tăng Bạt Hổ,21.0180050000000,105.8587320000000,500,,0439931781,,,09:30 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,150 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000027,Thành Nam - Nhà Hàng Buffet,,,1,Quận Hà Đông,Tầng 2- CT1 The Pride- KĐT An Hưng- Tố Hữu,20.9721115000000,105.7578204000000,500,,0904609598,,,09:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,200 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000028,GoGi House - Nướng Hàn Quốc - Giang Văn Minh,,,1,Quận Ba Đình,14 Giang Văn Minh- Ba Đình- Hà Nội,21.0301115821688,105.8270119875669,500,,0438359666,,,09:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000029,MChef Buffet & Hotpot,,,1,Quận Hai Bà Trưng,117A Trần Đại Nghĩa,21.0028910000000,105.8446400000000,500,,0967707172,,,09:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000030,The Kitchen BBQ Buffet - Lê Thái Tổ,,,1,Quận Hoàn Kiếm,Tầng 5- 3B Lê Thái Tổ,21.0321940000000,105.8514239999999,500,,0919293949,,,08:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000031,Sasuke Japanese Buffet,,,1,Quận Hai Bà Trưng,8 Lê Đại Hành,21.0096418000000,105.8500417999999,500,,0436380555,,,09:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000032,Yakimono - Nướng Nhật Bản - Kim Đồng,,,1,Quận Hoàng Mai,57 Kim Đồng,20.9838010000000,105.8435220000000,500,,0946298498,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
