Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000599,Đỉnh Thái Phong - Ẩm Thực Trung Hoa,,,1,Quận Cầu Giấy,Tầng 1 Chung Cư Viện Chiến Lược & Khoa Học Bộ Công An- Nguyễn Chánh,21.0114320338988,105.7953166589140,500,,0435564558,,,09:00 - 21:00,Nhà hàng,Có chỗ để ô tô - Giữ xe máy miễn phí,Châu Á -  Trung Hoa,,,,,,,,
@VNLAB,@000600,S-villa Restaurant,,,1,Quận Hai Bà Trưng,128 Mai Hắc Đế,21.0095450000000,105.8507230000000,500,,0439749696,,,08:00 - 23:00,Không nghỉ lễ,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000601,Lẩu Nấm Hoàng Gia - KĐT Sudico Sông Đà,,,1,Quận Nam Từ Liêm,Tòa Nhà CT5- KĐT Sudico Sông Đà,21.0185960000000,105.7801380000000,500,,0437876296,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,80 người lớn,,,,,,,,
@VNLAB,@000602,Sushi House,,,1,Quận Ba Đình,6 Vạn Phúc,21.0335280000000,105.8216210000000,500,,0438359742,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,120 người lớn,,,,,,,,
@VNLAB,@000603,Lẩu Hội Quán - Times City,,,1,Quận Hai Bà Trưng,Tầng B1- Times City- 458 Minh Khai,20.9959490000000,105.8692530000000,500,,,,,09:00 - 22:00,Các ngày lễ trong năm, - ,100 người lớn,,,,,,,,
@VNLAB,@000604,Nhà Hàng Quê - Ẩm Thực Việt,,,1,Quận Đống Đa,77 Ngõ 252 Tây Sơn,21.0085270000000,105.8226410000000,500,,0438574658,,,09:00 - 22:00,Nghỉ Tết Nguyên Đán,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn,,,,,,,,
@VNLAB,@000605,Nhà Hàng Bia Hơi Thượng Hải,,,1,Quận Thanh Xuân,231 Nguyễn Trãi,20.9973230000000,105.8117940000000,500,,0422113816,,,Đang cập nhật,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,120 người lớn,,,,,,,,
@VNLAB,@000606,Sân C7 Beer Club,,,1,Quận Ba Đình,C7 Giảng Võ,21.0275688000000,105.8223749000000,500,,0969890111,,,10:00 - 23:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000607,Vựa Hải Sản - KĐT Văn Quán,,,1,Quận Hà Đông,A36 TT17 Nguyễn Khuyến- KĐT Văn Quán,20.9719800000000,105.7902790000000,500,,01293616666,,,08:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000608,Le Bon Steak,,,1,Quận Ba Đình,104 Sơn Tây,21.0327496912393,105.8298280023700,500,,0911527789,,,Sáng: 11:00 - 14:00 | Chiều: 18:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000609,Potomac - Vọng Ba Lâu,,,1,Quận Tây Hồ,11A Nguyễn Đình Thi,21.0423780000000,105.8258710000000,500,,0986676689,,,08:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn (Có chỗ cho trẻ em),Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000610,Wa Japanese Cuisine,,,1,Quận Ba Đình,34G Trần Phú,21.0304430000000,105.8425800000000,500,,0437153663,,,10:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,120 người lớn,,,,,,,,
@VNLAB,@000611,Steak Upp - Bít Tết & Đồ Nướng,,,1,Quận Tây Hồ,55 Trích Sài,21.0455930293374,105.8148956380981,500,,01666848688,,,10:00 - 23:00,Các ngày lễ trong năm, - ,40 người lớn,,,,,,,,
@VNLAB,@000612,Tài Dê - Dê Tươi Ẩm Thực Hà Thành,,,1,Quận Đống Đa,74 Ngõ 360 Xã Đàn,21.0161121184406,105.8355149844433,500,,0471099919,,,09:30 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,300 người lớn,,,,,,,,
@VNLAB,@000613,BIJIN NABE - Ẩm Thực Nhật Bản,,,1,Quận Nam Từ Liêm,97 Nguyễn Hoàng,21.0317830000000,105.7741390000000,500,,0969141320,,,11:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,,,,,,,,
@VNLAB,@000614,Kim Liên Quán - Các Món Lẩu,,,1,Quận Đống Đa,115 B9 Kim Liên- Ngõ 65 Phạm Ngọc Thạch,21.0088411000000,105.8346784000000,500,,0961356886,,,09:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000615,Khu Sinh Thái Xuân Quế,,,1,Quận Long Biên,57 Tổ 12- Ngõ 68 Ngọc Thụy,21.0517920000000,105.8673690000000,500,,0438730526,,,08:30 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000616,Rượu Vang Vine,,,1,Quận Tây Hồ,1A Xuân Diệu,21.0609030000000,105.8330150000000,500,,0437198000,,,08:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,200 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000617,Vườn Nướng 173,,,1,Quận Long Biên,173 Ngô Gia Tự,21.0593990000000,105.8920710000000,500,,0438778888,,,09:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,300 người lớn,,,,,,,,
@VNLAB,@000618,Maneki Neko Deli - Ẩm Thực Nhật Bản - Vincom Center Phạm Ngọc Thạch,,,1,Quận Đống Đa,Tầng 5- Vincom Center Phạm Ngọc Thạch- 2 Phạm Ngọc Thạch,21.0062410000000,105.8313680000000,500,,,,,09:30 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000619,Taku - Nhà Hàng Phong Cách Tam Quốc,,,1,Quận Hai Bà Trưng,201 Kim Ngưu,21.0054846076406,105.8615092188119,500,,0462916102,,,10:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,70 người lớn,,,,,,,,
@VNLAB,@000620,Maneki Neko - Ẩm Thực Nhật Bản - Mipec Tower,,,1,Quận Đống Đa,Tầng 1- Mipec Tower- 229 Tây Sơn,21.0059366000000,105.8232093000000,500,,01687226689,,,08:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000621,Java Crawfish - 45 Làng Yên Phụ,,,1,Quận Tây Hồ,Tầng 3- 45 Làng Yên Phụ,21.0533477529019,105.8338696930542,500,,0437150150,,,10:30 - 22:30,100 người lớn,Có chỗ để ô tô - Giữ xe máy miễn phí,Đãi tiệc -  Ăn gia đình -  Họp nhóm -  Tiếp khách -  Ngắm cảnh -  Du lịch -  Tiếp khách sang trọng,,,,,,,,
@VNLAB,@000622,KB Restaurant - Hải Sản Tươi Sống,,,1,Quận Thanh Xuân,Tầng 2- HEI Tower- 1 Ngụy Như Kon Tum,21.0028576000000,105.8056268000000,500,,043868181,,,07:30 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,1000 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000623,AMATO - Ẩm Thực Châu Âu,,,1,Quận Hoàn Kiếm,Ngõ 1A Tràng Tiền,21.0247700000000,105.8587099999999,500,,01227367470,,,08:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000624,Hà Nội Garden,,,1,Quận Hoàn Kiếm,36 Hàng Mành,21.0316950000000,105.8486580000000,500,,0438243402,,,10:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,250 người lớn,,,,,,,,
@VNLAB,@000625,F - Plaza - Nhà Hàng- Karaoke- Buffet,,,1,Quận Hai Bà Trưng,159 Triệu Việt Vương,21.0123470000000,105.8506430000000,500,,0904665159,,,08:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,300 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000626,Lẩu 63 Biển Vàng,,,1,Quận Hoàn Kiếm,48C Phan Bội Châu,21.0240969000000,105.8428312000000,500,,0972096363,,,10:00 - 00:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,65 người lớn,,,,,,,,
@VNLAB,@000627,Quán Ngon Miền Tây - Văn Cao,,,1,Quận Ba Đình,47 Văn Cao,21.0409280000000,105.8161280000000,500,,0904337499,,,09:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000628,911 Beer Club,,,1,Quận Thanh Xuân,Khu D Vinaconex 1- 289A Khuất Duy Tiến,21.0034926895422,105.7937613129615,500,,0904886689,,,10:00 - 23:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000629,MiShaGi - Nướng than không khói,,,1,Quận Cầu Giấy,69 Trần Duy Hưng,21.0117410000000,105.8010650000000,500,,0462866886,,,09:30 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,200 người lớn,,,,,,,,
@VNLAB,@000630,Kimchi-Kimbap - Nhà Hàng Hàn Quốc,,,1,Quận Cầu Giấy,32 Trung Hòa,21.0140928297767,105.8022764619713,500,,0466704499,,,10:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000631,Tandoor - Nhà hàng Ấn Độ - Hàng Bè,,,1,Quận Hoàn Kiếm,24 Hàng Bè- P. Hàng Bạc,21.0333510000000,105.8537590000000,500,,0438245359,,,09:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000632,Bò Tơ Hoàng An,,,1,Quận Long Biên,108 Hoàng Như Tiếp,21.0442670000000,105.8753990000000,500,,0983868686,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,150 người lớn,,,,,,,,
@VNLAB,@000633,Kumbo - Nướng & Lẩu,,,1,Quận Long Biên,173 Ngô Gia Tự- P. Đức Giang,21.0594830000000,105.8918330000000,500,,0438778888,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000634,Hải Sản Cô Tô - Trung Yên,,,1,Quận Cầu Giấy,Tầng 1 Tòa Nhà Chelsea Park 116 Trung Kính,21.0186246803982,105.7932496401977,500,,0904744512,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,300 người lớn,,,,,,,,
@VNLAB,@000635,S&L's Diner - Ẩm Thực Mỹ,,,1,Quận Hoàn Kiếm,22 Bảo Khánh,21.0300460000000,105.8504950000000,500,,0437100529,,,09:00 - 24:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,45 người lớn,,,,,,,,
@VNLAB,@000636,Phong Vị Huế - Lạc Trung,,,1,Quận Hai Bà Trưng,74 Lạc Trung,21.0031320000000,105.8636659999999,500,,0466849471,,,07:00 - 22:00,Các ngày lễ trong năm, - ,50 người lớn,,,,,,,,
@VNLAB,@000637,Kim Long - Golden Dragon Restaurant - Hanoi Hotel,,,1,Quận Ba Đình,Hanoi Hotel- D8 Giảng Võ,21.0277795049310,105.8216160535812,500,,0438452270,,,Sáng:: 05:30 - 10:00 | Trưa:: 11:30 - 14:00 | Tối:: 18:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - ,60 người lớn,,,,,,,,
@VNLAB,@000638,Lẩu Dê & Gà Đắp Đất,,,1,Quận Hai Bà Trưng,47 Đại Cồ Việt,21.0081900662904,105.8467695119628,500,,0949736666,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000639,Bia Hơi Thu Hằng - Lê Đức Thọ,,,1,Quận Nam Từ Liêm,18 Lê Đức Thọ,21.0284840000000,105.7683400000000,500,,0948991111,,,08:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000640,Nhà Hàng Công Viên Nhỏ - Tiệc Cưới & Sự Kiện,,,1,Quận Tây Hồ,36 Ngõ 76 An Dương,21.0558820000000,105.8419720000000,500,,0437101515,,,08:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,1000 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000641,SINGGA Chicken House - Cơm gà Singapore,,,1,Quận Hoàn Kiếm,Tầng 3- TTTM Hàng Da- P. Cửa Đông,21.0349800000000,105.8454820000000,500,,0902091388,,,08:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000642,Toàn Ký Mì Gia,,,1,Quận Hai Bà Trưng,15 Phạm Đình Hổ,21.0163500000000,105.8570470000000,500,,0462580333,,,Buổi Sáng: 07:00 - 14:00 | Buổi Tối: 17:00 - 21:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000643,Cố Cung - Nhà Hàng Hàn Quốc,,,1,Quận Nam Từ Liêm,Tầng 2- Landmark A Keangnam,21.0220660000000,105.7788030000000,500,,0437624331,,,11:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,200 người lớn,,,,,,,,
@VNLAB,@000644,Nam Dương Tửu - Trần Khát Chân,,,1,Quận Hai Bà Trưng,331 Trần Khát Chân,21.0092420000000,105.8570380000000,500,,0439727898,,,09:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000645,Nhà Hàng Nhật Bản Furusato,,,1,Quận Hai Bà Trưng,76 Bùi Thị Xuân- P. Bùi Thị Xuân,21.0177250000000,105.8499910000000,500,,0979421616,,,Trưa: 10:00 - 01:30 | Tối: 17:00 - 03:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
