Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000649,Miến Lươn Tân Tân - Tuệ Tĩnh,,,1,Quận Hai Bà Trưng,16 Tuệ Tĩnh,21.0151661903099,105.8508735895156,500,,,,,08:00 - 22:00,Khoảng 5 - 10 phút, - Giữ xe máy miễn phí,Quán ăn,,,,,,,,
@VNLAB,@000650,Hạnh Mai - Bánh Xèo,,,1,Quận Hai Bà Trưng,77A Đại Cồ Việt,21.0078796317187,105.8459916338324,500,,,,,10:00 - 22:00,Khoảng 5 - 10 phút, - Giữ xe máy miễn phí,Quán ăn,,,,,,,,
@VNLAB,@000651,Xúc Tu - Mực Khổng Lồ,,,1,Quận Hoàn Kiếm,115 Phùng Hưng,21.0349810000000,105.8454190000000,500,,0909869988,,,17:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000652,Pacin - Mì Cay 7 Cấp Độ,,,1,Quận Cầu Giấy,183 Trung Kính,21.0158727849457,105.7944653896881,500,,0437844844,,,09:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000653,Bún Thang Lươn Gia Truyền - Đào Tấn,,,1,Quận Ba Đình,112 Đào Tấn,21.0338890000000,105.8058630000000,500,,,,,06:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000654,Quỳnh Ngà - Bún Chả- Nem Cua Bể,,,1,Quận Hai Bà Trưng,1 Phố Huế,21.0196210000000,105.8519760000000,500,,0438263416,,,07:00 - 23:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn (Có chỗ cho trẻ em),,,,,,,,
@VNLAB,@000655,Phở Gà Quán Thánh,,,1,Quận Ba Đình,42 Quán Thánh,21.0404030000000,105.8462150000000,500,,,,,06:30 - 21:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,25 người lớn,,,,,,,,
@VNLAB,@000656,Phúc Vịt - Đặc Sản Vịt,,,1,Quận Hai Bà Trưng,18 Ngõ Tự Do- Trần Đại Nghĩa,20.9968420000000,105.8460400000000,500,,0436288821,,,06:30 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,40 người lớn,,,,,,,,
@VNLAB,@000657,Reng Nướng - Cầu Vồng,,,1,Quận Bắc Từ Liêm,Cầu Vồng,21.0765210000000,105.7728250000000,500,,01666076442,,,16:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000658,Bún Đậu Đoàn Trần Nghiệp,,,1,Quận Hai Bà Trưng,Phố Đoàn Trần Nghiệp,21.0118230000000,105.8498040000000,500,,,,,11:00 - 14:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,30 người lớn,,,,,,,,
@VNLAB,@000659,Bánh Đa Cua Phố Trung Liệt,,,1,Quận Đống Đa,Phố Trung Liệt,21.0122460000000,105.8212460000000,500,,,,,09:00 - 22:00,Các ngày lễ trong năm, - ,20 người lớn,,,,,,,,
@VNLAB,@000660,Chè 219 - Khâm Thiên,,,1,Quận Đống Đa,219D Khâm Thiên,21.0192714323145,105.8333812281489,500,,0914261376,,,16:00 - 22:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,20 người lớn,,,,,,,,
