Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000099,Giao Thủy Quán - Mễ Trì,,,1,Quận Nam Từ Liêm,2 Đường Mễ Trì,21.0134419987866,105.7765750586986,500,,01673538912,,,08:00 - 21:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000100,Bách Hợp Quán - Quán Nhậu Độc Đáo,,,1,Quận Cầu Giấy,281 Yên Hòa,21.0216310000000,105.7914790000000,500,,0915024566,,,10:00 - 23:00,Các ngày lễ trong năm, - Giữ xe máy miễn phí,80 người lớn,,,,,,,,
@VNLAB,@000101,Giờ Thứ 9 - Bia Hơi Hà Nội & Các Món Nhậu,,,1,Quận Cầu Giấy,19 Trần Duy Hưng,21.0142911084844,105.8041116222739,500,,,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,65 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000102,Nhất Nướng 4 - Đức Diễn,,,1,Quận Bắc Từ Liêm,Đức Diễn- P. Phúc Diễn,21.0499180000000,105.7532610000000,500,,0916272903,,,09:00 - 23:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,350 người lớn,,,,,,,,
@VNLAB,@000103,Phú Hưng - Lẩu Đuôi Bò & Bò Nhúng Giấm,,,1,Quận Hà Đông,21 Ngõ 7 Đường 19/5- P. Văn Quán,20.9800000000000,105.7952530000000,500,,0986165591,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000104,Bờm Quán - Bia Hơi & Lẩu Các Món,,,1,Gia Lâm,25 Đường B Đào Nguyên- Thị Trấn Trâu Quỳ,21.0058151307618,105.9389697387814,500,,,,,10:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000105,Nam Vịt,,,1,Quận Hoàn Kiếm,14 Hàn Thuyên,21.0189510000000,105.8579240000000,500,,,,,10:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000106,Hải Xồm - Món Nhậu Bình Dân & Bia Hơi Hà Nội,,,1,Quận Cầu Giấy,16 Hoàng Quốc Việt,21.0462570000000,105.8031990000000,500,,0968275555,,,08:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000107,Duy Bờm - Bia Hơi Hà Nội - Giải Phóng,,,1,Quận Thanh Xuân,379 Giải Phóng,20.9971580000000,105.8414780000000,500,,,,,10:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000108,Đồng Xanh - Trâu Tươi & Bia Hơi Hà Nội,,,1,Quận Bắc Từ Liêm,135 Cầu Diễn,21.0494990815754,105.7401563599705,500,,0432007450,,,10:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,60 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000109,A Bát Giới 2 - Vịt Cỏ Vân Đình,,,1,Quận Đống Đa,Ki Ốt Chợ Thái Hà- Trần Quang Diệu,21.0140540000000,105.8232010000000,500,,,,,16:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,35 người lớn,,,,,,,,
@VNLAB,@000110,Hải Yến - Bún Bò Huế & Lẩu Hải Sản,,,1,Quận Long Biên,67 Ngọc Lâm,21.0445520000000,105.8669569999999,500,,0945563993,,,06:00 - 23:00,Quán ăn , Quán nhậu, - Giữ xe máy miễn phí,Việt Nam,,,,,,,,
@VNLAB,@000111,Linh - Bia Hơi Hà Nội & Lẩu Nướng Các Loại,,,1,Quận Đống Đa,102 D1 Đặng Văn Ngữ,21.0146830000000,105.8306770000000,500,,0905961988,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000112,Cây Bàng - Các Món Nhậu,,,1,Mê Linh,Gia Lạc- Xã Quang Minh,21.1985752202978,105.7678069174289,500,,0986396246,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000113,Bia Tươi Hồng Hà,,,1,Quận Hoàng Mai,Ngõ 19 Kim Đồng- P. Giáp Bát,20.9859726092113,105.8422742332046,500,,0977450805,,,10:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000114,Nhà Hàng 630 - Bia Hơi Hà Nội,,,1,Quận Hà Đông,Ngõ 630 Quang Trung,20.9590955057090,105.7599356397986,500,,,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000115,Lương Sơn Dương - Dê Núi Ninh Bình,,,1,Quận Bắc Từ Liêm,18 Đỗ Nhuận- P. Xuân Đỉnh,21.0660780000000,105.7914150000000,500,,0982013162,,,08:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,,,,,,,,
@VNLAB,@000116,Lá Cọ 2 - Bia Hơi & Các Món Nhậu,,,1,Gia Lâm,Khu Cây Xanh Đặng Xá 3- KĐT Đặng Xá,21.0163589348441,105.9491389989852,500,,,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000117,Lẩu Cù Kỳ & Lẩu Hơi,,,1,Quận Hà Đông,9 Khu Liền Kề 6C- Làng Việt Kiều Châu Âu- KĐT Mỗ Lao,20.9855430000000,105.7842390000000,500,,0904031981,,,10:00 - 21:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000118,Thắng Hổ - Bia Hơi Hà Nội,,,1,Quận Thanh Xuân,214 Lê Trọng Tấn,20.9921070000000,105.8324410000000,500,,,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000119,Bạn Tôi Quán - Lẩu Măng Cay,,,1,Quận Đống Đa,N11 Ngõ 95 Chùa Bộc,21.0051293570681,105.8277143910527,500,,0422143464,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000120,Hải Dương - Lẩu Ếch- Đồ Nướng,,,1,Quận Hai Bà Trưng,130 Thanh Nhàn,21.0028400000000,105.8554310000000,500,,,,,18:00 - 00:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000121,123 - Bia Hơi Hà Nội,,,1,Quận Hoàng Mai,51 Lương Khánh Thiện,20.9857590000000,105.8509360000000,500,,,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000122,Nhà Hàng 68 - Bia Hơi Hà Nội,,,1,Quận Cầu Giấy,259 Tô Hiệu,21.0415970000000,105.7918780000000,500,,0971528568,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,200 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000123,Thanh Hằng Quán - Bia Hơi Hà Nội,,,1,Quận Hai Bà Trưng,20 Đại La,20.9959100000000,105.8492704000000,500,,0942321988,,,09:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,60 người lớn,,,,,,,,
@VNLAB,@000124,Bia & Cà Phê - Thanh Đàm,,,1,Thanh Trì,93 Thanh Đàm- P. Thanh Trì,20.9933654000000,105.8892544000000,500,,,,,08:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000125,Quán Thịnh 461 - Bia Hơi,,,1,Quận Hai Bà Trưng,461 Minh Khai,20.9980600000000,105.8678570000000,500,,09888966766,,,10:00 - 22:00,Khoảng 7 - 15 phút,Có chỗ để ô tô - Giữ xe máy miễn phí,Quán nhậu,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000126,Hoa Tửu Quán - Ẩm Thực Đồng Quê,,,1,Quận Cầu Giấy,1 Quan Nhân,21.0085738434819,105.8133209869265,500,,0965536886,,,10:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000127,Định Nguyệt - Bia Hơi & Các Món Nhậu,,,1,Quận Hà Đông,50 Nguyễn Văn Lộc,20.9830340000000,105.7890160000000,500,,,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,80 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000128,Cường Nga - Bia Hơi Hà Nội,,,1,Quận Đống Đa,138 Lê Duẩn- P. Khâm Thiên,21.0189396871389,105.8413467183709,500,,0967242552,,,10:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000129,Bia Giải Phóng,,,1,Quận Hoàng Mai,121 Giải Phóng,20.9929070000000,105.8408650000000,500,,,,,08:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,20 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000130,Beer Vườn Đào,,,1,Quận Hai Bà Trưng,51 Hàng Chuối- P. Phạm Đình Hổ,21.0160600000000,105.8578970000000,500,,,,,09:00 - 21:00,Quán nhậu,Có chỗ để ô tô - Giữ xe máy miễn phí,Việt Nam,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000131,Bia Hơi Hà Nội Hiếu Béo - Lê Văn Hiến,,,1,Quận Bắc Từ Liêm,11 Ngõ 87 Lê Văn Hiến,21.0743690000000,105.7732130000000,500,,,,,09:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,65 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000132,Hải Yến Bia,,,1,Quận Hoàn Kiếm,21 Tạ Hiện,21.0348860000000,105.8521880000000,500,,,,,18:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000133,Đức Béo - Bia Hơi & Nhậu Các Món,,,1,Quận Nam Từ Liêm,66 Trung Văn,20.9912940000000,105.7924840000000,500,,,,,09:00 - 21:00,Quán nhậu,Có chỗ để ô tô - Giữ xe máy miễn phí,Việt Nam,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000134,Bia Hà Nội - Thái Thịnh,,,1,Quận Đống Đa,1 Ngõ 67 Thái Thịnh,21.0100379999911,105.8185864984989,500,,,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,30 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000135,Huynh Đệ Quán - Hoàng Mai,,,1,Quận Hoàng Mai,303 Tổ 45A Hoàng Mai,20.9927130000000,105.8506810000000,500,,0916456285,,,09:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000136,Quán Vịnh - Lẩu Lòng & Dải Nướng,,,1,Quận Hoàng Mai,2 Ngã Tư Linh Đàm- KĐT Bắc Linh Đàm,20.9715435624576,105.8282531797885,500,,,,,18:00 - 22:30,Các ngày lễ trong năm, - Giữ xe máy miễn phí,50 người lớn,,,,,,,,
@VNLAB,@000137,Kiên Mập X78 - Bia Hơi Hà Nội,,,1,Quận Hà Đông,Lô 150 Khu Giãn Dân Xa La,20.9640480000000,105.7894200000000,500,,,,,09:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000138,Nghé Ọ Quán - Bia Hơi Hà Nội,,,1,Quận Cầu Giấy,16 Dịch Vọng Hậu,21.0327837873736,105.7873283699154,500,,0985162186,,,09:30 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,100 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000139,Nhậu Bình Dân - Phú Đô,,,1,Quận Nam Từ Liêm,42 Phú Đô- Làng Phú Đô,21.0081243902474,105.7665073871612,500,,,,,18:00 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000140,Vượng Đạt - Bia Hơi Hà Nội,,,1,Quận Hai Bà Trưng,18 Tam Trinh- Tòa Nhà 15T1,20.9954822000000,105.8620717999999,500,,0968669236,,,09:30 - 23:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,40 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000141,Luân Trâu - Thịt Trâu Tươi Gia Truyền,,,1,Mê Linh,Tổ Dân Phố 1- Thị Trấn Chi Đông,21.2087790000000,105.7600580000000,500,,,,,08:00 - 22:00,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
@VNLAB,@000142,Tuấn Mượt - Bia Hơi Hà Nội,,,1,Quận Đống Đa,3 Quốc Tử Giám,21.0259490000000,105.8379730000000,500,,,,,10:00 - 22:30,Các ngày lễ trong năm,Có chỗ để ô tô - Giữ xe máy miễn phí,50 người lớn,Có chỗ chơi cho trẻ em,,,,,,,
